,FN_text,FN_index
48,trump maps out plan for first 100 days of not conceding election,829
49,man's anxiety not about to let depression muscle in on turf,842
50,trump accuses voters of meddling in midterms,874
51,stormy daniels '60 minutes' interview leads to spike in pornhub searches for anderson cooper,908
52,police finally make breakthrough in decades-old marijuana possession cold case,931
53,dance cage recidivism rates at all-time high within american club scene,940
54,facebook apologizes for giving mark zuckerberg a platform,941
55,kevin bacon talking about his band approved as prescription sedative,951
56,life-changing epiphany wears off on ride home,954
57,ancient melanesian masks thundered past to get to star wars exhibit,963
58,facebook offers to freeze female employees' newborn children,973
59,secretary of interior unveils plans for new high-speed creek,984
60,veteran congressman can still remember when inaction on gun violence actually presented a moral dilemma,989
61,tokyo squeezes in five more residents,990
62,donald trump spends another valentine's day completely alone,995
63,heartbreaking yelp review says it's just nice to eat a meal around other people,1012
64,amish woman knew she had quilt sale the moment she laid eyes on chicago couple,1014
65,baby doesn't realize it's a white supremacist yet,1027
66,nfl pregame ceremony honors retired 52-year-old cornerback as oldest living former player,1053
67,war talks begin at camp goliath,1073
68,pederast judge tries 11-year-old as adult,1091
69,mom wants to know if the people who live in your apartment building are nice,1107
70,freemasons return to jupiter,1144
71,doctors: cancer patients who watched the onion's amazon pilot daily showed signs of remission,1157
72,cops cleared on corruption charges after implicating decorated police dog,1162
73,man's dream to get drunk in an a-frame finally realized,1170
74,"pope benedict leaves church in helicopter with lebron james, paul feig for some reason",1200
75,alex trebek deftly prolongs agonizing small talk,1202
76,"poll shows majority of americans can't blame congress for the shutdown, not with those adorable faces they can't",1203
77,next week's school shooting victims thank senate for failing to pass gun bill,1229
78,gus van sant prepares shot-for-shot teen wolf remake,1238
79,north korean prisoners temporarily put into american detention camp to help ease shock of return,1246
80,"interpol admits 89% of its cases involve finding, recovering the 'mona lisa'",1247
81,psychologists advise practicing words 'president trump' over next 2 months to prepare for inauguration,1248
82,tom delay to pursue corruption in private sector,1250
83,charlie rose presses self about sexual harassment allegations in tense charlie rose interview,1254
84,trump: 'i remember flying the plane that bombed the uss arizona during pearl harbor',1268
85,women in hollywood perfectly okay they not represented behind the scenes of 'the blacklist',1287
86,"white house: 'for russia, the real sanction is knowing that they let us down'",1288
87,update: taylor swift back together with ex-boyfriend christopher dorner,1295
88,"nyc mayor: 'reconcile yourselves with your god, for all will perish in the tempest'",1300
89,weeping tim cook spotted screaming for help at steve jobs' tombstone,1320
90,death of miss moneypenny all tnt needed to run monthlong bond marathon,1339
91,senate intelligence committee confirms from testimony that donald trump jr. has no knowledge,1363
92,new google streep view to provide panoramic imagery of meryl streep,1378
93,"black mark on birth control manufacturer's record weighs in at 7 pounds, 6 ounces",1385
94,new affordable daycare sort of keeps an eye on your kids,1408
95,"'hold still,' says eric trump swinging sword at don jr. trapped inside knight's armor",1424
96,detectives overlooked casey anthony's 'i killed my daughter' ama on reddit,1467
97,grasshopper dismembered by future supreme court justice,1489
98,rising star john kerry's stirring speech paves way for 2016 presidential run,1493
99,universe honors david bowie with emotional starlight vigil,1515
100,'the bachelor' accused of leveraging his power as a reality tv star to lure 30 women to california mansion,1539
101,it impossible to tell what sounds will freak out cat,1612
102,the cyberspace revolution: why are the media ignoring it?,1615
103,j.crew debuts new line of stylish casualwear for mannequins,1622
104,decaying city just wants to skip to part where it gets revitalized restaurant scene,1632
105,authorities praise twitter users' rapid response to virginia shooting,1636
106,another pufferfish dies bitter and friendless,1669
107,seedless watermelon coming to grips with fact it'll never be able to have kids,1670
108,hundreds of people who will die before christmas really excited for holiday season,1683
109,world bank forecloses on world farm,1685
110,aarp calls for 'comfier booths' at denny's,1706
111,"watching thousands march in his honor unlocks deeper, darker corner of trump's psyche",1741
112,detroit burned down for the insurance money,1747
113,are we meeting the needs of our nation's rich?,1748
114,outback employees return from mandatory 6-month walkabout in australian wilderness,1762
115,hillary clinton mouthing along to presidential oath,1775
116,near-death experience followed by right-on-the-money death experience,1779
117,new michael landon biography resolves many unasked questions,1784
118,federal judge pencils blocking trump's unconstitutional executive orders into monthly schedule,1786
119,dad's been on a parenting kick lately,1793
120,there's been an explosion!,1803
121,overpopulation of the earth: will it create valuable new markets?,1830
122,"dad just wants nice, simple xbox one for checking email",1837
123,molly hatchet posts surprise upset in former deep purple district,1864
124,texas executes 393rd guilty prisoner,1897
125,greg behrendt releases new book for children: your parents aren't that into you,1925
126,tide of war turns after rumsfeld's inspiring barracks pep talk,1929
127,senate wins fight to lower allowable amperage levels on detainees' testicles,1930
128,orphanage director pushing asian orphans,1947
129,competitive adidas unveils darren wilson as new face of brand,1966
130,"emporia, kansas named best small town in america to escape from",1985
131,who pushes for more 'ouchless' adhesive funding,1986
132,white house flag now moving minute to minute to indicate trump's mood,2005
133,hope fades for survivors in 1999 turkish earthquake,2014
134,senile mother a broken novelty record,2030
135,ted danson tries to steer interview back toward becker,2031
136,new pixar employees required to watch adorable sexual harassment video,2033
137,ozzy osbourne bites head off five-pound chocolate rabbit,2052
138,robin williams inflicted on holiday moviegoers for eighth straight year,2058
139,school of the arts aims to transform boys and girls into insufferable young men and women,2099
140,angelina jolie coming for your baby,2104
141,infowars moves to ban alex jones,2108
142,supreme court justices keep citing cases roberts and alito are too young to remember,2123
143,health scare prompts man to start overeating healthier,2151
144,experts: ebola vaccine at least 50 white people away,2186
145,there no way tv character could actually afford big 'new york city' coffee mug,2189
146,steven spielberg claims he dislikes black actors to get out of cannes jury duty,2198
147,miss america pageant adds sweatpants and messy bun competition,2202
148,first family gets pet asp,2208
149,selfish missouri voters reject anti-union law after everything bosses have done for them,2289
150,crude but functional starbucks hewn from rock facing,2341
151,the media: are they media-obsessed?,2346
152,andrew w.k. adopts staunch party-advocacy position,2357
153,hippocratic oath updated to include vow of loyalty to blue cross blue shield,2408
154,"new rnc ad endorses roy moore: 'he's a scumbag, but he's our scumbag'",2437
155,protesters ignored,2439
156,justin timberlake already beneath u.s. bank stadium waiting for super bowl halftime show to start,2456
157,fox news problem solvers in way over their heads,2474
158,number of songs gop candidates can use down to 4,2513
159,visit to google earth reveals house is on fire,2524
160,terrifying mutation killing off u.s. cabinet members one at a time,2526
161,seasonal depression kicks in just in time to numb woman before holiday with family,2535
162,progressive charter school doesn't have students,2539
163,"guests' chairs tilt, spray water at them during first-ever 4d state of the union address",2543
164,alex rodriguez pulls out of world baseball classic because everyone else is doing it,2562
165,uneducated nba star urges kids to stay in school,2565
166,5 million illegal immigrants to realize dreams of having deportation deferred,2571
167,sounds of air hockey coming from supreme court chambers,2579
168,ice agents hurl pregnant immigrant over mexican border to prevent birth on u.s. soil,2585
169,"mike pence criticizes venezuela's use of torture, starvation on non-homosexual citizens",2595
170,relationship experts say healthy couples should be renewing their vows 3 times a week,2631
171,obama returns from india with these gross candies for everyone,2632
172,dollar losing value against the quarter,2638
173,halloween decorations blending in nicely with christmas lights,2650
174,trump demands nato allies match u.s. commitment to prioritizing military spending over healthcare,2652
175,afterbirthers demand to see obama's placenta,2689
176,indianapolis sports reporter pours his little heart out in peyton manning retirement column,2693
177,no one in women's shelter able to cook decent meal,2695
178,recreational-abortion enthusiasts applaud repeal of partial-birth ban,2704
179,dana loesch rethinking loyalties after seeing how much airtime teen activists getting,2725
180,internet to reduce e-mail delivery to 6 days a week,2734
181,bobby jindal vows to return america to time when he was rising republican star,2739
182,joe biden shows up to inauguration with ponytail,2741
183,report: there an adult superstore off exit 16,2747
184,usa today crossword puzzle grants false sense of intelligence,2766
185,logan paul: 'i didn't realize people who commit suicide kill themselves',2801
186,homemade dna test proves trump boys are at least one jar blood,2837
187,college newspaper staff know exactly how they would respond if editorial freedom challenged,2860
188,greenpeace decides northern spotted owl 'not worth the trouble anymore',2879
189,first holiday season without grandma incredible,2900
190,bill cosby announces dates for u.s. college commencement tour,2907
191,hundreds of rowdy starship crews disembark in nyc during intergalactic fleet week,2936
192,obama peddling stimulus package door-to-door,2955
193,"report: hey, stephen tobolowsky is in this!",2965
194,sea claims flip-flop,2966
195,pope francis delivers eucharist philly style,3019
196,"j.f.k. high cougars to go, fight, win",3022
197,post-modern condition upgraded to pre-apocalyptic,3048
198,"facebook bans thousands of snowboarders, base jumpers in crackdown on 'dangerous' accounts",3052
199,"'hurry, there's a violent black woman attacking my daughter,' says cindy mccain to police while watching 'the view'",3064
200,trump retweets video from anti-muslim hate group,3078
201,smiling willie nelson reflects on a lifetime of weed and women,3090
202,ape's tits incredible,3095
203,older cafeteria monitor not a teacher or parent or anything,3100
204,spokeswoman gives birth to spokeschild,3106
205,quaker oats assembly-line worker fired for 'oops! all berries' incident,3113
206,"hip, laid-back doctor refers to influenza as 'the flu'",3120
207,this time to be different,3176
208,"dad's tough exterior hides angry, resentful center",3200
209,2018 winter olympics cancelled due to inclement weather,3218
210,national weather service: 'don't go surfing unless you can really shred that shit',3258
211,psychic helps police waste valuable time,3287
212,keystone veto buys environment at least 3 or 4 more hours,3290
213,ira glass tries to explain 'this american life' at high school reunion,3298
214,william safire orders two whoppers junior,3355
215,john roberts delivers finishing blow to stephen breyer to defend title of chief justice,3393
216,"stormy daniels, james comey arrive at white house for state dinner",3422
217,cancer lobbies for decreased cancer funding,3441
218,double-entendre doesn't stand up to scrutiny,3461
219,brunch livened up by jazz trio's violent breakup,3482
220,jewel organizes 'save the unicorns' benefit,3514
221,ice argues migrants in camps are free to die at any time,3552
222,congressman boehner's terror alert skin set back to orange,3585
223,child's last steps captured on video,3615
224,chevron touts green initiative with hybrid-powered oil drilling platforms,3633
225,monkfish wishes monkfish weren't all the rage,3643
226,prizes on price is right looking better as man ages,3673
227,man who never missed 'ally mcbeal' back in the day joins trump legal team,3689
228,new york times adds color to target under-70 demographic,3695
229,"great, now it's turned into a whole big thing",3701
230,newly discovered fossils reveal prehistoric humans were bony,3704
231,5 states to decide whether to legalize marijuana or continue honoring god,3706
232,hmo targets blacks with 'rapping good' health campaign,3725
233,genetic experiment goes horribly right,3728
234,dress code cracked,3732
235,"obama compiles shortlist of gay, transsexual abortion doctors to replace scalia",3734
236,facebook: 'identifying hate speech is difficult because some posts actually make pretty interesting points',3737
237,two dozen restaurant patrons made violently ill from marriage proposal,3772
238,"aol/time warner turmoil over-reported, says time",3812
239,physics t.a. not born in u.s.,3843
240,drunk women find their run across busy street hilarious,3898
241,presumptuous congressional freshman thinks she can just come in and represent constituents,3913
242,wife's needs gross,3929
243,"columbus day protests once again erupt as nation struggles with its dark, anti-italian past",3947
244,another comedian ruined by parenthood,3955
245,"boehner just wants wife to listen, not come up with alternative debt-reduction ideas",3963
246,cnbc: 'anyone who owns a suit can come on television',3967
247,today particularly rough day for east village junkie transvestite,3982
248,last french fry told to 'get your ass over here',4001
249,mike pence drapes shawl over immodest lady justice statue,4008
250,prime minister of  norway gets laid,4028
251,new gop tax plan requires welfare recipients to apply for each individual piece of food,4049
252,biden's handlers suggesting he forget the words 'pink' and 'stink' altogether,4079
253,new dating website helps plus-size jewish plane crash survivors find love,4104
254,tennis instructor mentoring young player sees potential in parents' income,4106
255,ridley scott trades russell crowe to tim burton for johnny depp,4132
256,pope francis trains for easter mass by dragging pew loaded with rocks across snow,4151
257,4 senators mauled during congressional tiger show,4162
258,produce manager ready for some football,4172
259,dead daughter would have wanted $220 million liability settlement,4179
260,scholars say constitution is open to differing interpretations because nobody can read that crazy script,4186
261,"after 10 months of bitter struggle, downstairs neighbor masters 'jumpin' jack flash'",4193
262,rookie told to ease up on crime-scene tape,4204
263,texas governor legalizes previously banned wrestling move,4226
264,'very special' constitutional amendment to take on alcoholism,4235
265,former high-school bully pulls you over for speeding,4270
266,new 'cut off your genitals' challenge gains popularity among teens online,4279
267,al kozlewski pulls a kozlewski,4303
268,"ivanka, donald jr., eric trump removed from white house after mother wins 25-year custody battle",4316
269,david cameron to scottish people: 'i'll kill myself if you leave',4348
270,jay-z gives shout-out to his shareholdaz,4365
271,romney: 'this is why they call me turnaround mitty from comeback city',4399
272,'the office' ends as documentary crew gets all the footage it needs,4406
273,laid-off website designer designs website about being laid off,4410
274,"fed-up eu rejects united kingdom, gives british 30 days to vacate europe",4429
275,follow-up tests confirm president trump's 19 other personalities also perfectly healthy,4434
276,"brad pitt promises 1,000 years of peace",4442
277,cryptic long john silver's campaign just says 'you are the bait now',4446
278,'employees must wash hands' signs top iraqi hospital wish list,4451
279,justin timberlake tells jessica biel no one will believe her,4459
280,"war on string may be unwinnable, says cat general",4468
281,converse high tops reveal tv character's eccentric personality,4479
282,ruby tuesday goes public with request that everyone come on down to ruby tuesday,4505
283,teacher sees potential in student with glasses,4515
284,"'i'm trump all the way,' says man who will die from mishandling fireworks months before election",4524
285,new swiss army phone may pose health risks,4543
286,erik estrada big in mexico,4572
287,woman 7 golden retrievers short of childhood vision,4578
288,8-year-old boy surprises marine dad during firefight in afghanistan,4614
289,michael brown audiotapes conclusively reveal exactly what you want them to,4616
290,cannon overshoots tim kaine across wells fargo center,4618
291,"cory booker, kamala harris, elizabeth warren assure dreamers they'll never stop fighting for the 2020 nomination",4622
292,drought bad,4643
293,police repeatedly shoot tim cook after mistaking iphone for gun,4717
294,trump administration denies president was behind jared kushner's promotion to 4-star general,4723
295,"liberals return to sodomy, welfare fraud",4725
296,rich white people get latino guy to do some work for them,4748
297,man with apple hovering in front of face sues rené magritte's estate,4750
298,"comey: 'what can i say, i'm just a catty bitch from new jersey and i live for drama'",4752
299,new york approves $13 billion plan to rid jfk airport of former president's ghost,4779
300,john boehner beheads juarez cartel member who dared muscle in on his legal weed turf,4781
301,ilhan omar disrespectfully refers to america as 'a place',4804
302,writer unwilling to admit his screenplay perfect fit for justin long,4824
303,fda approves new drug for treatment of social anxiety,4833
304,moviegoer manages to sneak candy past teenage usher earning $7 an hour,4843
305,amazon reaches 1 trillion labor violations,4854
306,g20 leaders attend saudi crown prince's informative seminar on eliminating dissident journalists,4867
307,colombian rebel 25 years younger than colombian civil war,4898
308,internet jokester strikes again,4913
309,breaking: do you think we're doing a good job?,4919
310,antidepressant can't believe it's expected to fix this mess all on its own,4920
311,"obama, tennessee titans have no clue why team invited to white house",4922
312,soybean pissed after learning trade war means trip to china canceled,4946
313,texas abortion opponents to cheer selves up with execution,4965
314,poignant dying words wasted on dumbshit nephew,5030
315,bill up and dies in tennessee legislature,5045
316,"""i am equal to any man,"" says stern woman who likely does not menstruate",5064
317,app knows it's gone next time man needs space for photos,5071
318,awful show a repeat again,5098
319,santa claus killed in electric-razor crash,5100
320,tea party congressman calls for tax breaks to put out raging wildfire in district,5110
321,breaking: adam got a ps4 for christmas,5115
322,chinese citizens observe 25-year moment of silence for tiananmen square massacre,5137
323,olympic torch used to ignite tibetan protesters,5142
324,global-warming crisis makes for delightful mid-february afternoon,5182
325,viral video sparks national debate around drumming in public,5187
326,you the newest subsidiary of kraft foods,5209
327,"strangulation the new blow to the head, says hired killer magazine",5210
328,house condescendingly approves $400 in added stimulus,5226
329,dad shares photo album through never-before-seen website,5227
330,alpha trick-or-treater established by third house,5251
331,melania trump hosts state dinner in stunning black shroud of shrieking crows,5264
332,delta blues poised for biggest revival since 1915,5288
333,tiny ben carson tugs at debate moderator's pant leg,5303
334,top cute,5310
335,"'wait, mr. bezos, you forgot your tax subsidy!' says andrew cuomo running behind limo",5326
336,the titanic scenario: could it really happen?,5364
337,shooting suspect released after not breaking any arizona laws,5379
338,bra training complete,5415
339,ohio governor makes desperate plea to aquaman,5419
340,north american children begin summer migration to dad's,5448
341,michele bachmann thankful no americans died in sikh shooting,5466
342,"america a fascist police state, stoned underage drunk driver charges",5483
343,new epa chief proposes 30% cut in all carbon-based organisms,5497
344,gary cohn resigns in protest of trump's bigoted comments towards aluminum,5501
345,incredible 'business-man' has salary of 10 regular men,5523
346,missing white girl drives missing black girl from headlines,5530
347,inside: the fetish photography of german chancellor helmut kohl,5550
348,nyse admits: this is all make believe,5559
349,jennifer lopez comes out with own clothesline line,5591
350,"after 40-day search, authorities finally replace missing boy",5621
351,laid-off zoologist goes on tranquilizing rampage,5638
352,michelangelo's david updated,5649
353,jonathan lipnicki to star as young 'dark helmet' in spaceballs prequel,5676
354,catchphrase from 'the love guru' overheard,5684
355,voters shocked christie botched such an easy political cover-up,5699
