,FN_text,FN_index
188,experts: ebola vaccine at least 50 white people away,13486
189,little debbie conquers jenny craig in midnight showdown,24123
190,orphanage director pushing asian orphans,22872
191,football fan wears off-season body paint,8953
192,fly on wall can't believe they're restructuring entire west coast division,22155
193,'rock the vote' propels metallica to senate,49709
194,loose-cannon cop who doesn't play by the rules uses unconventional filing system for paperwork while on desk duty,29580
195,ambassador holding phrasebook 'pretty sure' she just strengthened ties with pakistan,51557
196,new 'star wars' film once again disappoints die-hard nien nunb fans,55
197,anthropologists discover ancient greek super pac that helped shape first democracy,16580
198,god shoots himself while cleaning gun,27647
199,experts: ebola vaccine at least 50 white people away,52631
200,plows working around clock to keep new hampshire roads clear of campaign signs,38031
201,outbreak of va-va-vooms traced to miniskirt-wearing blonde,728
202,ryan chugs down rhino horn and bull semen shake for mid-debate boost,39778
203,mcdonald's fights world hunger with new triple-decker burger,29489
204,confused marines capture al-jazeera leader,37931
205,supreme court votes 7-2 to legalize all worldly vices,15889
206,grumblethor the mischievous pleased with mayhem his magical antics have wrought upon white house–fbi relations,1414
207,"ugh, this a place where bartenders wear bow tie",52024
208,sex scandal sinks klemke reelection bid,48290
209,7.1 billion demonstrate in favor of global warming,8135
210,americans take brief break from waiting on hold with insurance providers to celebrate obamacare ruling,6347
211,baby doesn't realize it's a white supremacist yet,33749
212,'why can i never seem to say the right thing?' weeps trump into pillow,22234
213,teens spend wild spring break in d.c. begging lawmakers for their lives,45085
214,chuck schumer condemns mitch mcconnell for being way better at this than him,43156
215,alpha male marries tri-delta female,36313
216,"after 40-day search, authorities finally replace missing boy",42140
217,terry jones - could have at least manned up and burned one koran,55187
218,chevron touts green initiative with hybrid-powered oil drilling platforms,29734
219,every family member's birthday now marred by some tragedy,10633
220,girl in park acts like it's no big deal she's wearing bikini,32161
221,this so typical of hemophiliac,50233
222,"'to defeat them, i must become them,' john kerry says while putting on black face mask",5503
223,tragic oscar-night camera malfunction leaves seven critically underpublicized,5247
224,masterpiece cakeshop case declared mistrial after clarence thomas tampers with evidence,18946
225,man cruises by william h. macy's website to check out the latest news,32985
226,alpha male marries tri-delta female,11373
227,hollywood's biggest stars endure long lines at oscars security screening,26777
228,texas governor legalizes previously banned wrestling move,29243
229,london opening ceremonies end with traditional lighting of olympic stadium,31501
230,veteran told what offends him,48864
231,security guard makes passing women feel unsafe,31739
232,every bill reminds congressman of ex-wife,1448
233,shocking 'game of thrones' finale concludes with arrest of 5 million viewers for piracy,27976
234,'bad to the bone' to be used in film,29938
235,"win a $10,000 mall of america dream shooting spree!",24412
236,hillary clinton resumes attacking obama,14769
237,ryan seacrest catches up with 'captain phillips' star maersk alabama on red carpet,39797
238,creepy one-word text message from mom could mean anything,50565
239,"horseconnect, the social network for horses, bought for $1 billion",23657
240,roy moore refusing to withdraw from alabama 13-year-old,50784
241,"honest, hardworking man leans against reliable pickup truck",48988
242,trump asks why kavanaugh accuser didn't just immediately request hush money,43882
243,regular on sandy hook truth forum complaining about recent decline in quality of discussion,2393
244,roy moore under fire for new 'children are my future' ad campaign,34472
245,michigan gop passes legislation rerouting flint drinking water to governor's mansion for incoming democrat,54160
246,australian parliament gathers to discuss dwindling hemsworth reserves,41655
247,obama returns from india with these gross candies for everyone,25611
248,light playing beautifully off eric trump's gums at inaugural ball,23051
249,rhode island votes to move 2008 primary to tomorrow,33689
250,t.g.i. friday's bankrupt after spending billions on priceless americana,43173
251,'what's our best path to 270?' gary johnson asks campaign aides packing up office,10842
252,church member not the same since unsuccessful choir tryout,32011
253,mississippi brings down yet another national average,15346
254,focus groups hated it right up until guy's head got cut off,30962
255,al roker strongly considers retiring from creating the weather,33618
256,bruce springsteen accidentally plays 'big government's stealin' our livelihood' at obama rally,34275
257,pederast judge tries 11-year-old as adult,29393
258,jesse helms treed by coon hounds,38354
259,"earth safe, but for how long?",18517
260,internal affairs investigator disappointed conspiracy doesn't go all the way to the top,13006
261,football fan wears off-season body paint,45337
262,north dakota flooding reminds people of north dakota's existence,25746
263,carl bernstein weeps uncontrollably after learning bob woodward wrote a president book without him,50862
264,drew carey signs 75-year contract to host the price is right,25382
265,dana loesch rethinking loyalties after seeing how much airtime teen activists getting,31629
266,chicago st. patrick's day parade finally lifts ban on snakes,31039
267,hillary clinton resumes attacking obama,42737
268,donna brazile says hillary rodham clinton high palace of the solar order was almost like a cult,2276
269,poll finds 97% of americans don't know who donald trump is,31408
270,more cats made,27796
271,man who didn't get joke acts like he did,52147
272,3 toddlers dredged from chuck e. cheese ball pit,33631
273,fbi shuts down prominent new isis recruitment website,2599
274,heroic broken sewage pipe floods congress with human waste,20883
275,trump slams worldwide jewish conspiracy for not doing more to prevent synagogue shooting,40831
276,airline part of something called 'star alliance',2701
277,westboro baptist church not really sure why they're picketing allan arbus' funeral,39393
278,"larry nassar: 'who among us hasn't made a mistake repeatedly and with wild, shameless abandon?'",44994
279,facebook addresses accusations of silencing conservative voices by deleting barack obama's profile,28770
280,bill cosby announces dates for u.s. college commencement tour,2410
281,every new yorker found murdered,34704
282,al franken: 'i'm deeply sorry for my hilarious actions',52095
283,clinton's lower lip 'very concerned' about albanian crisis,28624
284,palestinian family trapped under rubble thrilled to hear 'gaza' trending on twitter,53900
285,tick scientists confirm 2017 summer will be best on record,18829
286,stack of unread new yorkers celebrates one-year anniversary,14964
287,supreme court upholds bill of rights in 5-4 decision,36381
288,ambassador holding phrasebook 'pretty sure' she just strengthened ties with pakistan,15922
289,steven spielberg claims he dislikes black actors to get out of cannes jury duty,53615
290,fox news problem solvers in way over their heads,52375
291,grasshopper dismembered by future supreme court justice,49410
292,overpopulation of the earth: will it create valuable new markets?,13790
293,emotional el chapo reunited with family following passage of criminal justice reform bill,52680
294,scientists politely remind world that clean energy technology ready to go whenever,15632
295,ivanka trump distraught after learning detained migrant children completely without sewing machines,40502
296,kennel certificate proves who puppy daddy is,12850
297,dad shares photo album through never-before-seen website,9121
298,donna brazile says hillary rodham clinton high palace of the solar order was almost like a cult,35683
299,"liberals return to sodomy, welfare fraud",4115
300,catching up on 2 seasons of 'house of cards' depressingly manageable,17872
301,red cross accused of wartime non-profiteering,20166
302,pandering nobel peace prize committee honors global harmony again,47341
303,taliban agrees to peace deal despite concerns about america's human-rights record,55143
304,$14.5 billion pledged to rebuild battleground states,29379
305,"well known gresham, or musicians form gresham, or supergroup",10213
306,"date of apple backlash set for march 21, 2008",45930
307,'paw patrol' writers defend episode where german shepherd cop shoots unarmed black lab 17 times in back,37887
308,senators wish domenici would bring dog to work more often,45220
309,gop warns refugees likely to be driven to terrorism by way america would treat them,24137
310,concert security guard would willingly give his life to protect coldplay,44773
311,man avoids messing with texas,29099
312,hillary clinton suspended 3 weeks by fec for spitting on volunteer,26962
313,clinton 'very disappointed' in missouri,20218
314,trump's switzerland trip cancelled as president deemed flight risk,12481
315,israeli soldiers open fire on palestinians carrying potentially dangerous injured friends,17053
316,report: most for-profit colleges started in effort to pay off own student debt,50797
317,john kerry jettisons russian henchmen from international space station airlock,49830
318,kerry downs another vodka shot as the last of putin's security detail passes out,46227
319,woman injured in hostile makeover,34165
320,asian man has thing for asian women,49046
321,"gaunt, sickly kirby takes leave of absence from video games following stomach cancer diagnosis",41914
322,friend dishonorably discharged from navigation duties after missing exit,28666
323,the media: are they media-obsessed?,32763
324,christie 2016 comes from nowhere to win republican nomination,11841
325,lie to cover surprise party sounds more fun than surprise party,52143
326,snowstorm in chicago delays hundreds of morning murders,49454
327,local radio station has got some doobie brothers coming up for you,4312
328,airline part of something called 'star alliance',40041
329,golden retriever mauls 5 in huge victory for pitbull apologists,6522
330,follow-up tests confirm president trump's 19 other personalities also perfectly healthy,53405
331,perky optimist brings joy everywhere she leaves,36117
332,white house: 'this is not the geologic era to debate gun control',52049
333,dan aykroyd has aykroyds,44171
334,supreme court upholds bill of rights in 5-4 decision,26412
335,death of sailor in iconic vj-day photo reminds americans of halcyon days when wars still ended,49050
336,"tech is the future, reports local dad",49684
337,topeka mayor now highest-ranking non-indicted republican official,22786
338,recording academy reminds aging musicians to die before december 15 to be included in 2017 grammy tributes,27183
339,dana loesch rethinking loyalties after seeing how much airtime teen activists getting,20340
340,spy world-famous,49237
341,every family member's birthday now marred by some tragedy,36352
342,lady gaga quashes rumors that she ever thought bradley cooper talented in any way,32982
343,gop voters: 'can we see what it looks like with huntsman and perry again?',13178
344,onion social embraces diversity by adding prophet mohammed emoji,42616
345,concert security guard would willingly give his life to protect coldplay,21394
346,cigarette tax hike to pay for iraq war,51200
347,"u.s. indicts 12 russian officials who will be indicted for 2018, 2020 election hacking",28323
348,plows working around clock to keep new hampshire roads clear of campaign signs,1913
349,christianity: is your family at risk?,33026
350,panic floods mike pence's system before realizing hand on knee his own,21681
351,steven spielberg claims he dislikes black actors to get out of cannes jury duty,7529
352,wall street journal lays off 150 stipple-portrait artists,47110
353,ahmadinejad signs on as dean at sarah lawrence,22073
354,dad's been on a parenting kick lately,36999
355,selfish missouri voters reject anti-union law after everything bosses have done for them,44822
356,white house releases moving statement honoring woman who called obama an arab in 2008,50403
357,toddlers debate whether 'dora's explorer girls' canon or expanded universe,39332
358,defiant pelosi begins swimming to afghanistan after trump denies use of government plane,28413
359,unclear if fountain is the type you're allowed to run around in,16092
360,psychic helps police waste valuable time,51297
361,detectives overlooked casey anthony's 'i killed my daughter' ama on reddit,33602
362,dollar losing value against the quarter,16270
363,same jumbotron used for marriage proposal used to ask for divorce,34493
364,"rick perry speech electrifies 1,200 scared, miserable racists",16378
365,americans hopeful this will be last mass shooting before they stop on their own for no reason,14381
366,ticketed motorist pointing finger just the green light cop needed,13730
367,woman probably just made up rape story in order to get threatening emails,27944
368,pope francis washes feet of phillie phanatic,54599
369,"win a $10,000 mall of america dream shooting spree!",45541
370,sgt. bowe bergdahl recaptured by taliban after wandering off texas base,26225
371,andrew w.k. adopts staunch party-advocacy position,14311
372,altruism mocked,17835
373,hundreds of rowdy starship crews disembark in nyc during intergalactic fleet week,49306
374,escalating tensions lead trump to shake up inner circle of tv programs,19407
375,katie couric flirts with cardinal on air,10040
376,secret police enforce mourning of deng xiaoping,18657
377,"tech is the future, reports local dad",836
378,women: why don't they lose some weight?,42015
379,man cruises by william h. macy's website to check out the latest news,17830
380,5-year-old alabama boy misses fun 'bunker grandpa',2830
381,raid on nacho-supremacist compound uncovers guacamole-making materials,16810
382,12-year-old who got her hair curled for spring dance the very image of old hollywood glamour,16043
383,global-warming crisis makes for delightful mid-february afternoon,19395
384,earth explodes,6353
385,kanye west announces his new name is tim,29796
386,kirstjen nielsen reminds herself she a private citizen now after instinctively detaining mexican child on the street,35127
387,plane delay leaves hundreds whiny,7639
388,slain cop had only 37 years until retirement,3959
389,veteran congressman can still remember when inaction on gun violence actually presented a moral dilemma,21920
390,hillary clinton suspended 3 weeks by fec for spitting on volunteer,5246
391,supreme court gets free box of shoes after mentioning nike in ruling,11297
392,wild-eyed marco rubio embarks in rowboat to help venezuela coup effort,33927
393,morale low at state department after only employee fired,3864
394,fans of victorious nobel laureates riot in stockholm,11593
395,"earth safe, but for how long?",41238
396,god shoots himself while cleaning gun,14108
397,scott walker changes locks on wisconsin governor's office,41644
398,"this actually good news, contractor reveals, because now you know the real problem",38445
399,malala can tell oxford paired her with roommate just because they're both nobel laureates,51288
400,mlb season ends over 200 days early after new rules speed up games way too much,4343
401,are we meeting the needs of our nation's rich?,731
402,man can't get police to care about his bob crane murder theory,50481
403,boehner opens another heap of letters from constituents asking to give corporations more tax breaks,17689
404,thai soccer player still waiting for parents to pick him up,30349
405,furloughed bison pour back into national parks after government reopens,8775
406,need for more places to sit becomes election's most important issue,18604
407,color drains from michael flynn's face after single red dahlia drops out of envelope from russian intelligence,20573
408,supreme court justices keep citing cases roberts and alito are too young to remember,25390
409,'bad to the bone' to be used in film,5136
410,woman probably just made up rape story in order to get threatening emails,13845
411,heroic broken sewage pipe floods congress with human waste,34186
412,alabama forced to release thousands of sex offenders after inmates deny charges,8589
413,"'captain actual america' overweight, hopelessly in debt",31411
414,experts say puerto rico still extremely vulnerable to future u.s. government,28925
415,yahoo back on top after purchasing millions of 13-year-old girls' blogs,43320
416,exercise briefly considered,16973
417,radio station playing controversial 'little drummer boy' on repeat in defiance of those who claim it contains sexually predatory themes,54807
418,lone mexican in mexican restaurant doing the dishes,28618
419,'mad men' premiere features group of actors who are scared to death of never making transition to film,7370
420,angela merkel opens up to the only newspaper she trusts,46058
421,controversial theory suggests aliens may have built ancient egypt's intergalactic spaceport,14188
422,explosion used to signify big savings,11776
423,boilermakers protest purdue's mascot,43804
424,chris penn's body double really letting self go,45985
425,"after 40-day search, authorities finally replace missing boy",22683
426,stack of unread new yorkers celebrates one-year anniversary,45715
427,dan quayle on standby to take over as bush family patriarch after george h.w. admitted to icu,20149
428,t.g.i. friday's bankrupt after spending billions on priceless americana,16419
429,john kelly resigns in last-ditch effort to save his and trump's friendship,40335
430,radical islamic extremists snowboard into u.s. embassy,29785
431,what man thinks is recycling takes city workers 2 hours a day to sort,45911
432,fox news problem solvers in way over their heads,147
433,trump slammed for signing john mccain defense bill without praising how many people it will kill,43861
434,"tanned, exquisitely coiffed bernie sanders tells supporters corporations actually have a lot to offer",31712
435,son's black market value checked online,2370
436,newt gingrich: 'it's an honor to address a crowd that shares my utterly bizarre and unhealthy obsession with hillary clinton',21650
437,those we lost in 2011,47879
438,catholic church releases new molestation-proof altar boy uniform,49021
439,state bird reconsidered after latest wren attack,29159
440,missing kazakhstani nukes turn up in manhattan,51426
441,compassionate fisherman doesn't have heart to throw trout back into incredibly polluted lake,6002
442,thousands gather to watch losing incumbents marched out of washington,7173
443,"well known gresham, or musicians form gresham, or supergroup",51751
444,open casket really ruining vibe at funeral,51146
445,trump fulfills campaign promise of pushing major immigration decision on someone else so he can watch tv,41498
446,aaa member pulled first from car crash,35231
447,u.s. adds 4 million jobs but in st. louis,40987
448,vatican policymaking once again manipulated by powerful second commandment rights groups,38843
449,esports star suspected of using peds,38491
450,18-year-old fighting in afghanistan has 9/11 explained to him by older soldier,17459
451,report: countless invasive species detained in epa black sites,3563
452,"danny devito a lot taller, thinner in person",37431
453,special pull-out section: rural illinois' sexist moms,9103
454,earth explodes,54141
455,media suffering through record normal temperatures,48858
456,nobody in ukraine notices absence of government,11052
457,"politician spots young female aide, and so it begins",48736
458,raid on nacho-supremacist compound uncovers guacamole-making materials,27438
459,powerball super fans camping out before the big drawing dressed up as their favorite numbers,25975
460,"gm workers strike for 2,000-peso raise",25618
461,"authorities claim the true austin bomber was everyone who failed this sensitive, promising kid",30558
462,"brilliant, innovative ceo just wrote words 'social media' on whiteboard and underlined it",26669
463,"'secretary clinton is a different person than donald trump,' says bernie sanders in ringing endorsement",21833
