,FN_text,FN_index
76,'the bachelor' accused of leveraging his power as a reality tv star to lure 30 women to california mansion,1539
77,ama: plastic surgery 'only a few years away' from making someone look better,1546
78,kathryn bigelow - first woman to win oscar for best directress,1552
79,"breaking: nunes memo exposes deep bias, corruption in devin nunes",1609
80,the cyberspace revolution: why are the media ignoring it?,1615
81,authorities praise twitter users' rapid response to virginia shooting,1636
82,jj abrams announces meryl streep will take over role of chewbacca,1641
83,another pufferfish dies bitter and friendless,1669
84,immigrant laborers hired to delete spam,1730
85,"watching thousands march in his honor unlocks deeper, darker corner of trump's psyche",1741
86,jeff bezos named amazon employee of the month,1743
87,are we meeting the needs of our nation's rich?,1748
88,there's been an explosion!,1803
89,overpopulation of the earth: will it create valuable new markets?,1830
90,states now offering millions in tax breaks to any person who says 'high-tech jobs',1852
91,webmd doesn't know how to tell you this,1855
92,molly hatchet posts surprise upset in former deep purple district,1864
93,alabama governor signs new 'heartbeat bill' lowering state's age of consent,1869
94,controversial puppy bowl star shits during national anthem,1916
95,veteran brita filter's tour of duty extended another 3 months,1921
96,senate wins fight to lower allowable amperage levels on detainees' testicles,1930
97,trump flubs gaffe,1967
98,who pushes for more 'ouchless' adhesive funding,1986
99,deutsche bank begins removing possessions from white house after trump defaults on loan,2000
100,hope fades for survivors in 1999 turkish earthquake,2014
101,house votes against trump's national emergency on grounds that only congress allowed to misappropriate funds,2016
102,area man thinks he was fired because of recession,2045
103,donald trump rift not what paul ryan needed in middle of 14-day cleanse,2051
104,fans beg aerosmith to go back on drugs,2071
105,'game of thrones' fans annoyed by obvious product placement for valyrian steel,2098
106,angelina jolie coming for your baby,2104
107,supreme court justices keep citing cases roberts and alito are too young to remember,2123
108,prison warden appears on leno with some of his favorite prisoners,2133
109,u.s. encouraging cuba to shift toward democratic system of corruption,2142
110,study finds exposure to violent children causes increased aggression in video game characters,2158
111,iowa board of tourism launches 'des moines is des perate' campaign,2185
112,proposed legislation would require airline seats meet federal ass standards,2193
113,steven spielberg claims he dislikes black actors to get out of cannes jury duty,2198
114,"judge rolls eyes, upholds naughty baker's first-amendment rights",2204
115,katie couric winces at word 'vagina',2206
116,fake-a-wish foundation introduces dying child to brett favre lookalike,2231
117,'candy land' screenwriter under impression fans counting on him to get this right,2235
118,condoleezza rice's lunch missing,2244
119,freshman bares her soul to entire dorm floor in first week,2256
120,greenpeace releases rescued dolphins into forest,2265
121,eclipse comes just in time to save john kerry from tribe of island cannibals,2308
122,college's new careerlink program connects students with thousands of annoyed alums,2315
123,'jurassic world 2' to feature more scientifically accurate jeff goldblum,2340
124,nation would not be surprised at this point if chris brown allegedly traveled back in time and punched anne frank,2420
125,schnauzers rioting outside madison square garden following westminster dog show defeat,2433
126,russia's power shut off,2441
127,suzanne somers named u.s. thighmaster general,2447
128,jeeves asked about genital warts,2450
129,"researchers find link between education, smartness",2503
130,so-called 'atheist' doesn't even barge into churches screaming 'you're all brainwashed fools',2532
131,progressive charter school doesn't have students,2539
132,supermodel's true beauty comes from outside,2552
133,alex rodriguez pulls out of world baseball classic because everyone else is doing it,2562
134,uneducated nba star urges kids to stay in school,2565
135,"mike pence criticizes venezuela's use of torture, starvation on non-homosexual citizens",2595
136,"palin unveils 9/11 firefighter cousin, reformed lesbian niece, naturalized mexican half brother",2606
137,relationship experts say healthy couples should be renewing their vows 3 times a week,2631
138,man who lost leg to whale decides to let it go,2660
139,supreme court agrees to disagree on abortion issue,2677
140,netflix cancels 'jimmy carter's world of peanuts',2690
141,indianapolis sports reporter pours his little heart out in peyton manning retirement column,2693
142,recreational-abortion enthusiasts applaud repeal of partial-birth ban,2704
143,poll finds 100% of americans blame shutdown entirely on colorado representative scott tipton,2714
144,empire state building ultimately supports nsa spying measures,2749
145,biden co-presents best new starlet award with shyla stylez at 2015 avn adult movie awards show,2769
146,logan paul: 'i didn't realize people who commit suicide kill themselves',2801
147,new report finds amazon may be listening to you through hardcover copies of michelle obama's 'becoming',2846
148,justice scalia endorses new easton gaveling gloves,2849
149,'seek funding' step added to scientific method,2882
150,new honda commercial openly says your kids will die in a car crash if you buy a different brand,2917
151,queen elizabeth ii to wed longtime partner following passage of gay marriage bill,2942
152,"scientists find link between how pathetic you are, how fast you respond to emails",2993
153,pope francis delivers eucharist philly style,3019
154,mannequins seem really in love,3043
155,"facebook bans thousands of snowboarders, base jumpers in crackdown on 'dangerous' accounts",3052
156,fema airdrops emergency cyanide pills for residents stranded by hurricane florence,3059
157,new epa regulations would force power plants to find 30% more loopholes by 2030,3061
158,"'hurry, there's a violent black woman attacking my daughter,' says cindy mccain to police while watching 'the view'",3064
159,'watermelon capital of world' claim goes unchallenged,3074
160,trump retweets video from anti-muslim hate group,3078
161,'new york post' publishes report exposing alexandria ocasio-cortez's 9-figure social security number,3136
162,trump campaign ponders going negative,3170
163,this time to be different,3176
164,2018 winter olympics cancelled due to inclement weather,3218
165,study links drinking while pregnant to being at kid rock concert,3269
166,report: american dream now an out-of-court settlement,3270
167,trump mocks christine blasey ford for forgetting basic facts about a woman's place,3275
168,"senate votes 64-36, not sure on what",3281
169,bus transporting carnival cruise passengers crashes into sewage treatment plant,3285
170,keystone veto buys environment at least 3 or 4 more hours,3290
171,matt lauer returns to today show following 2-day suspension,3300
172,hillary clinton inspires young girls to form presidential exploratory committees,3408
173,jostens unveils new engagement rings for pregnant high-schoolers,3412
174,cancer lobbies for decreased cancer funding,3441
175,"lives of mitch mcconnell, john boehner, eric cantor retain meaning",3443
176,"study: child obesity rates declining, but you wouldn't know it looking at macarthur center mall in norfolk, virginia",3472
177,jewel organizes 'save the unicorns' benefit,3514
178,leather-clad nomads seize power in australia,3516
179,botanists making great strides in stem research,3614
180,chevron touts green initiative with hybrid-powered oil drilling platforms,3633
181,man who never missed 'ally mcbeal' back in the day joins trump legal team,3689
182,"great, now it's turned into a whole big thing",3701
183,new texas legislation would require whiskey bottles to be shot out of air immediately after being emptied,3702
184,5 states to decide whether to legalize marijuana or continue honoring god,3706
185,hmo targets blacks with 'rapping good' health campaign,3725
186,facebook: 'identifying hate speech is difficult because some posts actually make pretty interesting points',3737
187,romantic prince harry surprises meghan markle with family's heirloom colony,3748
188,oprah winfrey breaks record for most appearances on the cover of 'o magazine',3792
189,"aol/time warner turmoil over-reported, says time",3812
190,new study finds nothing that will actually convince you to change your lifestyle so just forget it,3865
191,drunk women find their run across busy street hilarious,3898
192,himalayan goat dies following failed everest climb,3951
193,cnbc: 'anyone who owns a suit can come on television',3967
194,priscilla chan leaves mark zuckerberg for onion social ceo,3970
195,hillary clinton: 'young girls should have an equal opportunity to one day feel power coursing through their body',4017
196,new 'phone book' raising serious privacy issues,4072
197,another boxing hall of fame induction ends with everyone punching each other,4090
198,suspect wins over detectives with 'rockford files' reference,4105
199,tennis instructor mentoring young player sees potential in parents' income,4106
200,shape magazine declares july 'let yourself go' month,4128
201,sweating obama admits drone strikes have been happening on their own,4137
202,4 senators mauled during congressional tiger show,4162
203,cop who shot unarmed black man let off with a promotion,4173
204,nyc conservationists decry destruction of rat habitats,4187
205,"after 10 months of bitter struggle, downstairs neighbor masters 'jumpin' jack flash'",4193
206,texas governor legalizes previously banned wrestling move,4226
207,'very special' constitutional amendment to take on alcoholism,4235
208,former high-school bully pulls you over for speeding,4270
209,new 'cut off your genitals' challenge gains popularity among teens online,4279
210,neighbors come together to watch bmw owner struggle in snow,4302
211,"ivanka, donald jr., eric trump removed from white house after mother wins 25-year custody battle",4316
212,"vatican on sex abuse report: 'listen, no normal person is going to sign up to be a priest'",4354
213,27-year-old regrets 'funky cold medina' tattoo,4370
214,college senior holding out hope that internship will lead to class-action lawsuit,4389
215,'the office' ends as documentary crew gets all the footage it needs,4406
216,frustrated republicans argue pope should leave science to scientists who deny climate change,4407
217,libertarian candidate worried after latest poll shows him 98 points behind,4424
218,christian bale loses 40 years for upcoming movie role,4443
219,cryptic long john silver's campaign just says 'you are the bait now',4446
220,justin timberlake tells jessica biel no one will believe her,4459
221,"war on string may be unwinnable, says cat general",4468
222,queen elizabeth announces success of monarchy's recent diversity initiative,4481
223,police confirm car had ethanol in system at time of crash,4510
224,new swiss army phone may pose health risks,4543
225,erik estrada big in mexico,4572
226,study finds suspicious circumstances still leading cause of death in russia,4575
227,woman 7 golden retrievers short of childhood vision,4578
228,trump supporter still planning on rioting at national convention anyway,4583
229,8-year-old boy surprises marine dad during firefight in afghanistan,4614
230,michael brown audiotapes conclusively reveal exactly what you want them to,4616
231,"cory booker, kamala harris, elizabeth warren assure dreamers they'll never stop fighting for the 2020 nomination",4622
232,nation just goes ahead and decides 'freedom prevails over hate' is lesson of 9/11,4646
233,supporters aggravated bernie sanders didn't use dnc speech to get voters to act against their own self-interest,4716
234,police repeatedly shoot tim cook after mistaking iphone for gun,4717
235,trump administration denies president was behind jared kushner's promotion to 4-star general,4723
236,israeli bus driver wants really big raise,4775
237,ilhan omar disrespectfully refers to america as 'a place',4804
238,sarah huckabee sanders denies doctoring footage showing jim acosta in clown makeup blowing up gotham hospital,4830
239,god loses pouch filled with crystals that give him powers,4831
240,lazy event planner throws 'bags of ice'–themed party,4844
241,authorities urge florida residents to prevent further disasters by finally standing up to hurricane,4855
242,"kellyanne conway: 'i always liked hope hicks' skin, her unblemished supple skin, pure, tasty skin'",4871
243,console wars heat up as zenith unveils gamespace pro,4879
244,son of edward r. murrow says father 'real dirtbag' compared to onion reporters,4966
245,girl scouts rocked by 'cookies for cash' fundraising scandal,4970
246,hellmann's heir's conduct unbefitting a mayonnaise magnate,4992
247,honda civic refusing to start engine in solidarity with striking uber workers,4998
248,mental health experts say friends giving away possessions could be warning sign they planning on moving,5014
249,bill up and dies in tennessee legislature,5045
250,"former marine sniper slapped with 3,000-yard restraining order",5048
251,god urges rick perry not to run for president,5061
252,dea seizes half-built suspension bridge from bogotá to miami,5074
253,teen makes clever remark during science class,5091
254,unemployed single mother in rubio speech told candidate about her problems in confidence,5102
255,tea party congressman calls for tax breaks to put out raging wildfire in district,5110
256,breaking: adam got a ps4 for christmas,5115
257,inside: spring fashions so glamorous you'll practically shit yourself,5140
258,marriage breaks up over procreative differences,5149
259,viral video sparks national debate around drumming in public,5187
260,you the newest subsidiary of kraft foods,5209
261,"strangulation the new blow to the head, says hired killer magazine",5210
262,pool noodle has another season in her,5217
263,disney trailer teases exit of major character in upcoming film 'death at pooh corner',5221
264,house condescendingly approves $400 in added stimulus,5226
265,many native americans still hold traditional beliefs about white man,5265
266,gay marriage passes in 9 states after area homosexual dunks on regulation rim,5277
267,celebrity killed in mid-air 747 collision,5286
268,delta blues poised for biggest revival since 1915,5288
269,top cute,5310
270,friends place memorial on section of six flags roller coaster track where guest died,5360
271,the titanic scenario: could it really happen?,5364
272,conservation group condemns waterboarding as wasteful,5368
273,portugal finally gets it together,5370
274,shooting suspect released after not breaking any arizona laws,5379
275,look at it: it's goddamn beautiful,5390
276,ohio governor makes desperate plea to aquaman,5419
277,michele bachmann thankful no americans died in sikh shooting,5466
278,environmentalists speak out against excessive cheese logging,5485
279,gary cohn resigns in protest of trump's bigoted comments towards aluminum,5501
280,george jefferson honored for black television history month,5506
281,missing white girl drives missing black girl from headlines,5530
282,inside: the fetish photography of german chancellor helmut kohl,5550
283,jennifer lopez comes out with own clothesline line,5591
284,7-year-old loses respect for shrek after seeing him in burger king commercial,5603
285,"after 40-day search, authorities finally replace missing boy",5621
286,jonathan lipnicki to star as young 'dark helmet' in spaceballs prequel,5676
287,voters shocked christie botched such an easy political cover-up,5699
