,FP_text,FP_index
47,"torture report: america conducts a moral reckoning.  next, moral repair?",22960
48,cops attempt to unlock phone of man they killed using his finger,13494
49,norman reedus' new movie 'air' looks just as creepy as 'walking dead',41671
50,house bipartisanship throws up pitifully weak toxic chemicals control bill,38710
51,european vacation -- in philadelphia!,25014
52,new gop governor's inauguration raises questions of corporate influence,14965
53,milo ventimiglia strips down to raise awareness for breast cancer on 'ellen',43187
54,"american dream week a smashing, mostly uninvestigated success",26682
55,be still our hearts: raspberry chocolate grilled cheese sandwiches,38272
56,"obama caves to girl scout lobby, wears tiara in photo",23840
57,oregon militants' sympathizers emboldened by acquittal in wildlife refuge takeover,34718
58,hiroshima visit brings feelings of guilt to american born in japan,6156
59,redstate names leon wolf managing editor as erick erickson prepares exit,13841
60,dinosaur skeleton reveals babies may have lived on their own from birth,11808
61,meryl streep and tom hanks have too much fun playing each other's characters,6835
62,"this mattress with nearly 40,000 reviews is $200 off today only",14246
63,statues and place names continue to honor champions of slavery,40920
64,"big bird, beastie boys mashup tells you how to get to sabotage street",51380
65,"'new hampshire' episode 4: not just for old, white people",2801
66,texas gov. rick perry indicted for wearing hipster glasses,47026
67,john kerry breaks leg in bike crash,42662
68,brazil's senate votes to remove president dilma rousseff from office,10690
69,ferguson shop owner 'overwhelmed' by community support after looting,40281
70,"trump too lazy and 'indifferent' to hurt allies by sharing intel, white house officials tell nyt",47216
71,sonoma's wackiest wineries,8541
72,judge overturns conviction of innocent man sentenced to life more than 40 years ago,19497
73,new york times reaches 1 million digital-only subscribers,27309
74,magnetic migration,33556
75,recycling opens the door to a circular economy,29460
76,insane marshmallow clouds bubble up in severe storms,54551
77,mariah carey rings in 2017 with painful lip sync fail on live tv,13628
78,pig farmers are struggling to keep up with america's bacon needs,49082
79,meeting logs: obama quietly coddling big oil on 'bomb trains' regulations,3546
80,"italy earthquake survivors to live in tents until january, amatrice mayor says",49146
81,'open sesame' are  not always magic words,28030
82,milky way's vast galactic plane shimmers in hypnotic new video,19359
83,"in deep red territory, constituents grill congressman in fiery town hall",18824
84,poll finds little opposition to confirming neil gorsuch,18021
85,australia to lay off leading scientist on sea levels,35708
86,vatican bank's ex-chief indicted for embezzlement and money laundering,50538
87,london replica goes up in flames on great fire's 350th anniversary,22166
88,pizza hut's new 'skinny slice' isn't quite a dream come true,5332
89,don cheadle claims trump once used racial slur in reference to black women,25603
90,'that nail polish looks horrible on you' and other words of style advice from my grandmother,47401
91,'cupcake burglar' busted thanks to frosting,39793
92,congressional authorization,24026
93,"u.s. job growth rebounds sharply, unemployment rate hits 4.4 percent",21050
94,nobody watched matthew mcconaughey's forgotten youtube channel until now,549
95,"federal judges can't clear someone's record, even for minor, nonviolent offenses",33759
96,"astronomers discover tiny, shy moon hiding in the shadows of the solar system",19951
97,sen. tim scott responds to john kelly: 'no compromise to make' on civil war,5907
98,oscars 2018: the complete winners list,35603
99,hilary duff's dating history,52135
100,mcdonald's just caved to a ton of pissed off 'rick & morty' fans,1521
101,lawsuit accuses glass artist dale chihuly of plagiarizing work,17182
102,yelp adds hospital wait times and nursing home ratings using propublica data,21425
103,tammy haddad brunch kicks off star-studded whcd weekend,45171
104,couple married 75 years renew their vows in sweet nursing home ceremony,18302
105,health officials confirm second case of plague from yosemite,5353
106,cuban migrants adrift at sea drank own blood and urine to stay alive,38482
107,"song premiere: j.d. mcpherson, 'bossy'",16790
108,'not racist' guy says honoring mlk will make him show 'racist ways',4207
109,too big to eat,48298
110,prepare to be hypnotized by these cute puppies eating their dinner,43333
111,"a hi-tech veggie burger so good, it'll convert meat eaters",1704
112,paul ryan's wonk shtick is getting old,28046
113,steven spielberg joins dc universe for 'blackhawk' film,42242
114,fda approves nasal-spray version of overdose drug naloxone,27086
115,"newsweek, abc '20/20' reports expose abuse, torture of gay youths and troubled teens",52004
116,12 portable vegan snacks for when hunger hits,37496
117,"verizon, comcast approach 21st century fox about acquiring assets",29174
118,man stuffs cash into shirt of gop congressman who voted to repeal obamacare,39697
119,'got' season finale hints at appearance of that one big character,37480
120,dating technology,49542
121,finephilia with designer ryan saghian,21126
122,man films killer tornado bearing down on him in shocking video,50085
123,heartbroken locals hold candlelight vigil for taco bell that burned down,22984
124,internet's newest mystery involves justin timberlake hooking up with a spice girl,3497
125,ben carson to tell supporters he sees 'no path forward' for campaign,7889
126,"missing puppy headed back to worried owners after 2,400-mile road trip",42810
127,what special olympians taught timothy shriver about real fun,2902
128,ann romney's grandma tips are 'freakin' awesome',21795
129,fbi might withhold secret method of unlocking iphone from apple,42228
130,longtime refugees grateful for citizenship in tanzania,2020
131,"james comey's book pre-sold almost 200,000 copies, source says",37409
132,f. gary gray likely to direct 'fast & furious 8',12417
133,'the simpsons' predicted disney would buy fox nearly 20 years ago,46923
134,woman duct-tapes her dog's mouth and brags about it,54220
135,romney: democrats lost because they weren't 'proud' enough of obama,26511
136,"verizon ny charged 'basic rate' phone customers multiple rate increases for the deployment of the fios, title ii, fttp broadband networks",23978
137,"beyoncé announces $100,000 in scholarships for hbcu students",35026
138,martin shkreli wants to be the only one to own kanye's new album,46784
139,beach boys confirm they're considering playing trump's inauguration,35507
140,joe biden tries to tamp down house dems' anger over deportation raids,50929
141,"police say woman made up story of attack by two men, one wearing a trump hat (update)",26747
142,defiant north korea launches what appears to be icbm,16656
143,"underserved kids learn a year's worth of math in 6 weeks, thanks to new app",23501
144,inside facebook's plan to build an artificial brain,9017
145,don't sleep on target's chic new modern home collection with dwell magazine,48191
146,"school aide fed pet treats to 75 students, claimed they were cookies: report",33273
147,adorable tiger cubs turn into fearsome big cats over course of 1 year,52556
148,chemical weapons almost certainly killed jewish refugees the u.s. could have taken in,19700
149,emeritus pope benedict to attend weekend's canonizations,12981
150,john kerry attempts to bully codepink into silence,51806
151,only benedict cumberbatch can crack the case in jimmy fallon's mad lib theater,47076
152,floyd mayweather jr. stripped of title from manny pacquiao fight,32701
153,using new technology to give voice to the voiceless,28427
154,cary elwes of 'the princess bride' to join 'stranger things'  season 3,7875
155,explosions heard in rural area near aleppo,52322
156,twitter doesn't tire of knocking conor mcgregor's stamina,1109
157,dallas shootings cast shadow over obama trip to spain,21888
158,'it's just a nice place to live': meet the people of charleston,13290
159,fiona apple's classic 'criminal' video just got a lesbian makeover,9117
160,thousands protest in moscow against housing plan,36535
161,beautiful boozy cadbury creme egg milkshakes!,41919
162,brave beachgoers take huge chance to rescue tiger shark,9907
163,shake it off: what i learned from a negative review,33462
164,87-year-old musician dies after performing 'there's no business like show business',28987
165,"margarita lovers, behold: someone made a cloud that rains tequila",54917
166,soap star's pattern of forming unhealthy bonds began in preschool,48019
167,bruce davis eligible for parole for charles manson family murders,17255
168,6 questions every parent should ask themselves before telling their kids to 'try harder',22083
169,trump campaign ceo steve bannon failed to properly pay taxes for several years,13719
170,holocaust survivor receives high school diploma at age 88,36309
171,the weird thing gop candidates are doing when they get called out on lies,5993
172,selene chin: ground yourself with the right skills,19995
173,report: algerian militant killed in u.s. strike targeting al qaeda operatives in libya,26371
174,firefighters gaining ground against california's deadliest ever blazes,38389
175,"british model freed after being kidnapped to be sold, italian police say",46250
176,psa on funny or die shows the absurdity of valuing all opinions equally,4872
177,iran releases 4 american prisoners after months of top-secret negotiations,15638
178,comedian releases song to find her own rachel maddow,41374
179,shell's arctic ambitions held up in seattle,42466
180,kevin hart humors woman who thinks he's chris rock,48637
181,artist's stunning image honors the moment one woman defied a neo-nazi march,680
182,"in kenya's forbidden forests, conservation can turn violent",49923
183,afro-textured hair: beautiful and magical or nappy heads in need of perminators?,38159
184,selfless playstation worker customizes controller for gamer with cerebral palsy,20870
185,"admit it, trump supporters, you got duped",1804
186,ex-iranian president mahmoud ahmadinejad plans to run again,33832
187,chris christie suggests hillary clinton was to blame for boko haram's kidnapping of hundreds of schoolgirls,26722
188,exclusive: ginger minj's 'white christmas' video premiere,3707
189,"andrea tantaros wants roger ailes, fox news execs to take a lie detector test",16159
190,karen mcdougal released from contract restricting her from discussing trump affair,38915
191,stop referring to fathers as babysitters,13258
192,expert conversation: 'the right to luxury could constitute a legitimate claim',35917
193,native american boy pulled from class over mohawk hairstyle,23622
194,bollywood superstar sridevi dies at 54 of cardiac arrest,42331
195,taylor swift threw lorde a celeb-filled birthday party fit for royals,46721
196,miracle cyclist crashes into high-speed train and survives,19038
197,things come apart so easily: asghar farhadi's about elly,1135
198,peter dinklage might've spit his gum into wife's mouth before accepting his emmy,25549
199,"north korea demolishes tunnels at nuclear test site, reports say",24217
200,bye bye,55085
201,man jumps from hotel's 45th floor with jet pack,8940
202,magna carta: awesome tale,52309
203,adapting change to fit complexity,10090
204,barry jenkins quietly makes history with oscar nomination trifecta,22854
205,'very angry badger' seizes part of 500-year-old scottish castle,26213
206,"independent spirit award nominee andrea suarez paz: ""i hope to play something impossible""",54796
207,man brings human skull to florida grocery store: police,30181
208,saudis snub obama on riyadh arrival amid growing tensions,27110
209,mark twain's fascinating letter to walt whitman,1294
210,teenage girl who survived plane crash walked for days before getting picked up by motorist,7798
211,(still) daring to be different in dr. martens,16687
212,obama honors those who made the ultimate sacrifice on memorial day 2015,31285
213,detroit-area residents demand clean air,54260
214,'twin peaks' finally resolves that terrifying cliffhanger,17606
215,oxford dictionaries' word of the year perfectly sums up life right now,49904
216,supreme court keeps california's 'gay conversion' therapy ban in place,35163
217,climbers abandon everest amid fresh avalanches,33097
218,boehner vows to leave successor with clean slate,46332
219,fat bottom girl,17501
220,explosive report says usa swimming covered up hundreds of sexual abuse cases,17910
221,police release footage of man who died after being pepper sprayed,47630
222,russia's economy headed for even more trouble,30370
223,photographer mourns her lost children in touching series,52587
224,airline passengers tackle man who rushes cockpit in bomb threat,28663
225,congressional hearing goof pulls back the curtain on how washington really works,43776
226,11 comedians playing comedians on tv,13775
227,marvel salutes hip-hop with 50 variant covers paying homage to classic albums covers,45548
228,coroner to investigate police killing of rock thrower,34974
229,congratulations to fbi director jared kushner,11723
230,nestle to switch to cage-free eggs in u.s. by 2020,47596
231,google's expansion in boulder has its critics,41348
232,"maxine linehan challenges bono, beach boys, and pride of ireland in interpretation of 'beautiful songs'",44350
233,18 halloween costume ideas for people who wear glasses,3692
234,'civic eagle' app wants to bring americans face to face in online debate,25009
235,emma watson donates $1.4 million to fight sex harassment in curtain raiser to baftas,21574
236,death of mentally ill woman in police custody ruled a homicide,27017
237,u.s. citizens say they were detained by border patrol agent for 'speaking spanish',2781
238,taylor swift shares 'family portrait' with lots of famous ladies,26391
239,guard dog in training notices very suspicious-looking dog in mirror,34357
240,"u.s., partners secretly agreed to allow iran to evade restrictions in nuclear deal: report",39566
241,obama wishes george h.w. bush a 'speedy recovery' after fall,34747
242,lisa turtle looks very different these days,2754
243,matt damon now knows you are sexually attracted to his ponytail,36800
244,indian country all too familiar with rachel dolezals of the world,40258
245,price-gouging pharma ceo takes over cancer company,179
246,working mom wants it all,39560
247,knee osteoarthritis treatment shows promise in early trial,1840
248,giving abdul-rahman kassig the last word,51065
249,netanyahu: iran leader's speech shows dangers of nuclear deal,54578
250,corey lewandowski cluelessly turns bomb suspect search into immigration rant,22331
251,new york and ibiza had a beautiful sexy baby: they called it tel aviv,12771
252,what experts say about waiting to cut your baby's umbilical cord,22057
253,peanut exec faces life sentence for shipping tainted peanut butter,41603
254,state department has spent none of the $120 million allocated to fight russian interference,34291
255,michigan's congressional hopefuls worry about the next flint,23391
256,"u.s. reaches major milestone: 100,000 american students study in china",16319
257,syrian army helicopter crashes; crew captured by rebels,46126
258,exclusive: former congressman harold ford jr. fired for misconduct by morgan stanley,15133
259,bombing in syria's ghouta won't let up long enough for rescuers to count bodies,44595
260,"immigrant mother receives pardon for minor driving conviction, but still could be deported",12626
261,billionaire paul allen's yacht wrecks cayman islands coral reef,9676
262,fired lesbian catholic school teacher locked out of archdiocese while trying to deliver petitions,38126
263,pre-roe abortion providers on breaking the law to save women's lives,5895
264,vatican: gay people are 'our sons and daughters',28136
265,gladys knight sues to remove name from chicken and waffle restaurant,53884
266,what does honolulu's urban development really mean?,44428
267,"huffpost hill - can hillary clinton give out 600 snow shovels, meet with a bunch of rich lesbians and have it all?",3529
268,"'how do we treat the little people, joan?' i asked. and she said, 'why, we treat them better. we only s--t on people at our level or higher.'",11625
269,harry reid stunned by ted cruz's claim that most violent criminals are democrats,25003
270,new details paint unsettling pictures of london attackers,50388
271,new type of moon rock discovered by china's yutu lunar rover,12844
272,"brandy norwood: 'i stopped believing in god, lost my faith... i was depressed'",32321
273,comedian bashes 'snl' for not casting an openly gay man in over 30 years,39812
274,breaking uniform,416
275,nato air base hit by taliban rockets,27910
276,congressional climate deniers represent 63 percent of americans,5474
277,girl cries after mlb star traded; he takes her for pizza,34621
278,whole foods recalls maytag blue cheese due to listeria risk,17351
279,sick dog who was to be euthanized gets diagnosed just in time,18003
280,"great legs, gross teeth: endurance runners and tooth decay",40763
281,lee daniels made 'star' for 'white people to feel good about being white',23352
282,new sanctions to stall exxon's arctic oil plans,16594
283,north carolina doesn't seem to want people to see police camera footage,270
284,kfc urged to stop routine use of antibiotics on poultry,15341
285,stop complaining about the evolution of text language. period.,834
286,hope hicks named white house communications director,19843
287,success academy works for my kid,51205
288,palestinians starting to play on less uneven playing field,44295
289,escape from falluja,15458
290,son possibly made withdrawal with dead mom,23927
291,navy hospital removes staffers for calling babies 'mini satans' on social media,45103
292,"north korea executes vice premier for not sitting up straight, south korea says",21723
293,young performer jade pettyjohn of nickelodeon's school of rock is in new film with katee sackhoff,5139
294,bear's plan to break into man's home foiled by cat door,10555
295,"chinese scientists successfully clone 2 monkeys, could lead to human applications",18078
296,cbs news chief on bob schieffer's return: 'how could you sit out a year like this?',6412
297,hug factory,19789
298,chris hemsworth knows 'what love is' now that he has kids,54875
299,university of missouri starts reviewing demands from student activists,20765
300,megachurch pastor abruptly retires after allegations of improper conduct go public,41314
301,"hundreds of thousands on precipice of losing everything, yet no one seems to care?",8599
302,"california bans pet shop sales of non-rescue cats, dogs and rabbits",41453
303,u.s. scientists win nobel medicine prize for body clock research,33791
304,last officer from pearl harbor battleship uss arizona dies at 100,41686
305,sleepy baby elephant picks one awful napping spot,8274
306,nbc news correspondent ayman mohyeldin returning to gaza,40311
307,kfc ads get even weirder with norm macdonald as 'real' col. sanders,12186
308,israeli forces kill palestinian youth wielding knife at checkpoint,1526
309,marqkria lost 260 pounds: 'my motivation came from wanting to take control of my life',29359
310,head-in-sand purists,24760
311,madeleine albright apologizes for implying female bernie supporters will go to hell,34961
312,code words for spinster throughout history,20778
313,iran only has half the amount of enriched uranium allowed under nuclear deal,4828
314,oregon church apologizes for banning overweight people from its 'worship team',8023
315,obamas to parkland teens: you've awakened the nation's conscience,2966
316,rubio launches new lines of attack against christie,40535
317,jury awards ex-employee of roscoe's chicken n' waffles $1.6m in race discrimination suit,54815
318,modcloth goes one step further,43801
319,iran denies making deal with u.s. to ship nuclear material to russia,38846
320,gun dealer likely thwarted mass shooting by refusing sale: sheriff,44659
321,uae warns citizens to avoid wearing traditional clothing while abroad,21767
322,gm wants to fill the gap volkswagen's dieselgate scandal left,30824
323,dick cheney takes george h.w. bush criticisms as 'mark of pride',16127
324,'i didn't just scream',3715
325,robbin' season's true criminal is revealed in the latest episode of 'atlanta',12685
326,nyc removes statue honoring 19th century surgeon who experimented on female slaves,7137
327,employee wellness programs aren't so voluntary anymore,29263
328,jeb bush severing 'problematic' connections,32201
329,panama papers source breaks silence and offers to aid authorities for immunity,47608
330,"spotify hit with $1.6 billion lawsuit from publisher representing tom petty, neil young",28778
331,cia left inert explosives on school bus after exercise,18816
332,"jack lew nears decision to keep hamilton on front of $10 bill, put a woman on the $20",13522
333,jil speaks openly about new york's full moon festival,13021
334,"man who awoke from coma just in time shares his story, urges us to 'find the miracle within'",10176
335,mozambique devises national plan to end child marriage,54865
336,avoiding auto repair scams,39989
337,man who tried to burn ex-girlfriend's house with cheetos is convicted,17079
338,white house signing ceremony reveals blinding white maleness of trump's inner circle,6378
339,conscious business trumps the president's paris decision,13359
340,television's nerdiest indian gets real,4305
341,4 classic italian wines that are easily available in the u.s.,50936
342,sea lion yanks man off boat in effort to snatch fish,27868
343,"vice gearing up for nightly hbo show with new hires, moves",40503
344,"from birth control to culturally competent care, affordable care act breaks down health care barriers",41341
345,dan harmon finally reveals reason behind 'rick and morty' delays,52553
346,leaping kangaroo smashes into unsuspecting cyclist in australia,28677
347,amazon pulls racist 'slavery gets s**t done' products from website,19544
348,photographers from 186 countries compete in worldwide competition,3115
349,kid brings joy to louisiana with sneaky newscast dance moves,37625
350,"discovering the pink petticoat, tampa's lingerie treasure trove",43870
351,rare shark accidentally caught by fisherman,34522
352,dick cheney would torture again,15613
353,colbert's mcdonald's all-day breakfast prophecies are coming true,43901
354,9 parking garage designs that are works of art,11662
355,history teacher removed from classroom for comparing trump to hitler,55093
356,the u.s. throws out $3 billion in cancer drugs every year,50581
357,from tacos to pad thai: 12 standout shrimp recipes,9557
358,mccain: botched execution amounts to 'torture',46929
359,"white roof, low energy",22434
360,zoe saldana brings out tlc for incredible 'no scrubs' performance on 'lip sync battle',7267
361,cupid is stupid,37632
362,solar jobs report shows huge growth,5153
363,will forte's gross beard test results will make you want to shave,19477
364,dining out in dallas by john mariani,46542
365,flash-mob spells out 'resist!' next to trump california golf course,27998
366,wreckage of cargo ship lost during hurricane joaquin believed to be found,15004
367,broadway veteran sets the record straight about 'hamilton',43886
368,"gina rodriguez's sweet salsa moves raise $10,000 for puerto rico",13175
369,thousands of people who failed background checks in 2016 bought guns anyway,23148
370,roommate dancing while he thinks no one's watching is amazing,39149
371,new snowden revelation could spark turmoil among nations,37359
372,china tightens control over hong kong on 20th anniversary of takeover,8302
373,toothbrush melts into oblivion in surprisingly hypnotic video,36599
374,santa obliges dad of sleeping boy by snoozing on camera,14938
375,gay couples fight to be included on birth certificates,9431
376,can nonprofit management usurp board responsibilities?,19998
377,u.s. muslims ask john kerry for protection on mecca pilgrimage,29312
378,new mexico store bans 'obama & other muslims',48032
379,2-year-old adorably mangles 'the star-spangled banner',7258
380,once-homeless hairstylist helps girls in need in the most beautiful way,11815
381,actress shamed for wearing red to golden globes responds to critics,10430
382,marine le pen literally stole parts of a speech from her rival,33180
383,man who jumped fence was able to enter the white house,1241
384,palestinians suspicious of al-aqsa surveillance promoted by kerry,33220
385,ethiopia to release all political prisoners in bid to foster reconciliation,1917
386,thandie newton recalls disgusting encounter with repulsive male director,34803
387,"going against the flow: diana paredes, ceo of suade",40027
388,choreographer mark dendy enters the labyrinth,47328
389,'extinction labels' tell you how your food choices affect wildlife,41147
390,jessica simpson's hsn appearance has some scratching their heads,13297
391,unhrc decay needs urgent treatment,30311
392,illinois considers allowing recall attempts of chicago mayor,24558
393,obama begins sales pitch on trade to wary u.s. public,38360
394,'kimmy schmidt' star tituss burgess follows up 'peeno noir' with ode to multicultural penis,47698
395,remarkable new documentary on burma's children,31634
396,paralyzed dog couldn't be happier to get a second chance at walking,30090
397,"chef teaches inmates at cook county jail how to cook, how to live",6108
398,john stamos has no mercy when apparently throwing shade at drake bell,19112
399,bakery owner vows to stop making wedding cakes altogether after pro-gay court ruling,19602
400,tom brady's met gala outfit gets mocked from the sidelines,34103
401,ferguson's easy answers,8733
402,palestinian president calls on un to replace u.s. as mediator in peace process,38156
403,nervous flyer screwed by pals who secretly pack dildo in his bag (nsfw),43847
404,what's really lurking in those pedicure tubs?,13546
405,ohio delays execution after failing to find sick inmate's vein,23025
406,report: kimora lee is pregnant,36273
407,saudi crown prince's unprecedented power grab could come to haunt him,7142
408,sanders ramps up spending in effort to catch up to hillary,34927
409,'take your kid to work day' results in npr newscast shutting down for full minute,14078
410,mark wahlberg prays god will forgive him for this movie role,4234
411,'prince of pot' spends last 4/20 in prison,3602
412,"all hail nicole kidman, who won a deserved emmy for 'big little lies'",25876
413,metta world peace thinks that matt barnes fight factored into derek fisher's firing,39514
414,"hugh laurie returns to the doctor game, except in chance he has none of the answers",20207
415,study proves exactly how gross bathroom hand dryers really are,24932
416,china refuses overseas treatment for critically ill nobel peace prize winner,42026
417,eye surgery lets abused dog see his rescuer for the very first time,26491
418,nasa reveals plans for new rover,25755
419,new chair of senate indian affairs committee wanted dapl protests shut down,34034
420,medical examiner releases amonderez green autopsy,27860
421,former google engineer james damore takes refuge among the alt-right,18286
422,photographer creates awesomely surreal pics of his son,42590
423,"chaffetz, cummings seek answers from trump on his business' profits from foreign governments",14638
424,49ers stunned in ot loss to chargers,10902
425,dancing with thieves,41175
426,nasa's kepler spacecraft recovers from unexplained emergency mode,47423
427,integrating roma into europe's future: change must come from within,3587
428,how the u.k. government ignored offers to take in more lone children,5470
429,celebs' most iconic grammys outfits ever,46803
430,"christmas dinner: 14 easy, elegant recipes",16804
431,clarissa from 'clarissa explains it all' is all grown up in new book,39674
432,iraqi camps swell as civilians flee fighting in fallujah,45017
433,engineer's voicemail warned state of bridge cracks 2 days before collapse,20891
434,zoo animals roam free after flooding in tbilisi,34178
435,'acting white',49389
436,adam sandler's red carpet date was his 23-year-old doppelgänger,50650
437,approved catcalls,30794
438,infuriating video shows meek mill making homeless man do pushups for $20,20949
439,"from bulldogs to elephant walks: chats with johnny mathis, monica mancini and anson williams, plus matt hires works with rmh",31301
440,"trump hotels buck industry trend, continue to offer guests porn",47240
441,why were so many beloved christmas songs written by jewish musicians?,14748
442,texas lt. gov. not worried about bathroom bill costing the state money,40319
443,'what was he wearing?' why the media needs to ask the right questions about rape and violence,37604
444,aircraft laser strikes soar to all-time high,32621
445,tom brady does not want to talk about his 'good friend' trump's gross comments,4790
446,report: nurse who fought ebola quarantine to leave maine,53643
447,man confronts n.j. officer searching van apparently without permission,30433
448,"putin, erdogan and orban: band of brothers?",26019
449,nobody was more delighted by the mtv movie & tv awards opening than hugh jackman,22486
450,fan grabs world series home run from another fan to throw it back,44227
451,'quantico' star's ode to fried chicken will brighten your day,47824
452,'simpsons' creator on apu debate: 'people love to pretend they're offended',53318
453,art-house summer films not to be missed,8203
454,democalypse or ass-whuppin'?,53056
455,clinton and sanders face off in wyoming as race heats up,42115
456,busy philipps consoles michelle williams on 10th anniversary of heath ledger's death,24819
457,adopted child doe and amended birth certificates,28198
458,republicans holding out hope new chief of staff can restore order to chaotic white house,20939
459,constable serving eviction order kills 12-year-old girl,11567
460,south korea to hold presidential election in may to replace impeached leader park geun-hye,27359
461,containing steph curry -- impossible?,6647
462,homeless man takes massive risk to save his dog,19974
463,nypd weighs allowing chokeholds following eric garner death,81
464,hillary clinton joins jennifer lopez onstage to encourage voters to 'get loud',20424
465,fisherman killed by whale moments after rescuing it from nets,30222
466,unesco weighs in on debate over where jesus was baptized,2067
467,russian athlete dedicates olympic medal to 'unfairly' banned compatriots,31618
468,snow angel,4988
469,dennis hastert argues humiliation over sexual abuse allegations is punishment enough,43720
470,pope wraps up south american tour with visit to banado norte slum,32441
471,"desperate parents of abducted nigerian girls lose hope in government, turn to u.n.",18436
472,u.s.-trained syria rebels hand over equipment to al qaeda affiliate,4187
473,charity exec braves mt. kilimanjaro to rally support for hell's kitchen social services,50236
474,"after learning about homelessness, kind toddler starts donation drive",5115
475,congress finally passes bipartisan legislation to address opioid epidemic,44732
476,financing the flames -- nif parade fracas pushes outraged jewish groups to define mainstream,35565
477,spanish government threatens to impose direct rule in catalonia,53983
478,pennsylvania's congressional delegation will no longer be all men,36736
479,israeli ambassador ron dermer pokes fun at critics with super bowl prediction,14921
480,pope visits one of italy's most dangerous areas,21830
481,george w. bush interrupted obama to ask him to snap a picture of him and it was amazing,31596
482,new freestyle rap card game is bringing hip-hop culture to your tabletop,7698
483,bloomberg gadfly debuts in bid to shake-up financial commentary space,51196
484,"nigel, the lonely seabird, dies next to the concrete bird replica he loved for 5 years",5383
485,firenze fireworks: easter explosions in florence,45077
486,chris murphy: congress giving 'quiet endorsement' to murders,47019
487,tom hardy goes from real-life hero to movie supervillain,15339
488,showdown with johnson & johnson's alex gorsky,46192
489,trump told friends 'you all just got a lot richer' from tax bill: report,54876
490,firefighters are happy to rescue 12 police officers stuck inside elevator,11884
491,ap reporter wounded in afghanistan vows to return,19086
492,at least 800 migrants attempt to cross into spain from morocco,25467
493,shirtless tonga olympian pita taufatofua wins olympic opening ceremony again,9280
494,talented kiddos recreate iconic 'dirty dancing' scene on 'america's got talent',17493
495,"astronaut tim peake completes london marathon in space, sets world record",19589
496,"charity for homeless returns martin shkreli's $15,000 donation",13405
497,world's first successful penis transplant results in pregnancy,35632
498,he's baaaaack!,1560
499,if disney princesses realized they could save themselves,46924
500,'harlem shake' creators threaten legal action against fcc chairman ajit pai,10689
501,judge agrees to hear resentencing motion in gay-bashing case,49014
502,australian police charge vatican treasurer over historical sexual assaults,6046
503,recent mlb incidents reveal warped ideas of manhood in sports,2743
504,ellen finally meets that chicken nugget kid sabotaging her twitter record,46688
505,"international travel: opera, luxurious lodging and great food in venice, italy",10666
506,apparently reese witherspoon likes j.crew as much as we do,33222
507,woman gets several job offers after handing out resumes on the side of the road,49708
508,clinton hopes to clinch nomination in california,2395
509,reinvest in california seniors to boost local economies,47271
510,putin picks ex-defense official as new ambassador to u.s.,38259
511,robert downey jr. volunteers to voice mark zuckerberg's real-life jarvis,7862
512,los angeles mayor pledges $138 million to help the biggest homeless population in the u.s.,44836
513,family loses third son to the heroin epidemic,9000
