,headline,is_sarcastic
2653,automakers ask nation if it still wants that handle above car windows,1
12316,afghanistan: a morally corrupting war,0
25475,"hopes, dreams crushed by panel of d-list celebrities",1
18093,warden figures week in solitary ought to teach inmate not to be schizophrenic,1
43705,is a college degree really the best investment?,0
27985,chuck schumer: democrats will filibuster neil gorsuch's nomination,0
29276,is twitter bad for language? statistical analysis says no (new book),0
31031,football-loving americans harassed for wearing turbans to nfl game,0
54743,naughty butcher specializes in penis-shaped veal cutlet,1
19637,broke dad makes son playstation 2 for christmas,1
48829,wild leopard enters school and attacks six people,0
33349,dye pack foils art thief,1
34115,'finding nemo' told with emoji is pretty freaking adorable,0
1628,negligent oaf sloppily packs away board game without so much as a thought to future players,1
37768,report: everything made in sweatshops,1
51960,thursday's morning email: government shutdown threat looms over border wall faceoff,0
34677,tiny changes {today's buddha doodle},0
42456,breaking: still nothing,1
36157,live updates on hurricane harvey's aftermath,0
43848,area roofer badmouths college,1
52358,rick steves cleaned out by gypsies,1
16535,dad receives advance intelligence on visiting son's new eyeliner,1
23423,cameron crowe to release only soundtracks,1
5757,lgbt rights rally in deeply-divided singapore sees record turnout,0
9194,man prowling at airport gate ready to pounce like jungle cat at first sign of boarding,1
41927,"private prisons, we have a problem",0
47153,george h.w. bush moved out of icu after health improved,0
52414,'fantastic' news! dumbledore is officially coming to 'fantastic beasts',0
32621,aircraft laser strikes soar to all-time high,0
25246,u.s. reverses course and offers new dates for nato talks,0
46770,'gone with the wind' actress says turning 100 is her best role,0
16307,pretty obvious which sibling going to have to deal with all the nursing home stuff,1
45728,chef justice luigi vespucci issues spicy dissent on puttanesca v. arrabiata,1
38134,"u.s. women's ice hockey team crushes finland, heads to olympic finals",0
49727,biggest loser in high school adjusting to being ordinary loser in college,1
7682,this is how to locate lost life insurance policies,0
29432,skywriter trailed by skyeditor,1
46997,biden gets grow light delivered to white house under fake name,1
17735,great science fiction isn't just about facts. it's about imagination.,0
37072,trump the globalist plutocrat,0
33827,nation has heart set on last muffin,1
45382,lester jackson gets his sorry ass home,1
38998,encouraging new study indicates majority of u.s. students can now recognize math,1
667,internet personality michael buckley on giving 'sex tips' off broadway,0
10839,heavily processed food makes pathetic nutritional claims,1
44082,stephen colbert gives donald trump's allies and enemies the funniest alter egos,0
3332,a donald trump presidency would be dangerous for the world: un rights chief,0
17316,desperate mom okays male babysitter,1
48380,new 'game of thrones' trailer provides sneak peek at show's climactic all-cast dance number,1
54419,john oliver rallies 'time-wasters and troublemakers' to fight the fcc,0
31943,these medical marvels are proof science is amazing,0
13218,man's ironclad grasp of issue can withstand 2 follow-up questions,1
21942,guantánamo detainee ruled not mentally fit to testify about psychological torture,1
49376,"migrant boat to europe sinks, some 200 feared dead",0
47410,prison now allowing death row inmates to receive weekly visitors throughout executions,1
19444,astronomers just going to go ahead and say dark matter nitrogen,1
29992,"on 18th birthday, bindi irwin shares photo of steve irwin full of 'love and light'",0
26640,"democrats could lose up to 8,000 seats in upcoming midterm election",1
32962,'what happened' and moving on from the 2016 election,0
8461,hair carefully disheveled in 20-minute ritual,1
8034,john kelly hoping prejudiced anti-immigrant comments got him back on trump's good side,1
34651,"'the president can suck my big fat dick,' says rex tillerson in veiled attack on trump",1
854,democrats shouldn't panic over one poll showing donald trump ahead,0
25643,"birthing in the gambia: educate, empower and enable",0
22085,subway manager disgusted by sight of cold cut combo devouring large rat,1
15126,paul ryan: 'anti-semitic images' have no place in presidential campaigns,0
27933,police release haircut-progressed photo of missing woman,1
33635,u.s. secretary of beer: 'woooo!',1
16437,polling booth completely disgusting by time last voters get there,1
24002,here's why jeb bush's super pac is spending $1.4 million to attack marco rubio,0
11309,9 printable mother's day cards for procrastinators,0
39350,how obama moved the cuba needle,0
4113,marco rubio warms up to trump,0
52135,hilary duff's dating history,0
2145,mediocre painter's true talent lies in acting like a painter,1
9700,103 uber drivers accused of sexually assaulting or abusing customers: cnn,0
9803,google will team up with ford to build self-driving cars: report,0
46645,a new massachusetts 'sustainable energy' coalition is really a front for gas interests,0
44918,trip to office kitchen hastily altered to trip to bathroom to evade despised coworker,1
55123,study: no two people have listened to same band since 2003,1
20727,"experts recommend breaking down crushing defeats into smaller, more manageable failures",1
46252,ape appointed banana czar,1
36330,richard wolff says capitalism drives inequality with 'explosive' consequences for society,0
1257,8 latinas every american woman should thank,0
5829,the best maternity style moments at the grammys,0
13660,watch cop's extremely lucky escape as car slams into gas station,0
16568,espn pulls broadcaster from virginia game because his name is robert lee,0
54407,guidance counselor reminds self-mutilating drug user about sat deadlines,1
18506,"it doesn't look that cold out, reports man who doesn't have thermo-sensing eyes",1
25725,los angeles 1992: a personal reflection,0
6702,"historical archives: facial corsets for ladies, finally",1
881,"dear baby boomers, step aside",0
19954,area woman's safety net braces for another impact,1
31036,dubai completes construction on world's first full-scale replica of dubai,1
28042,establishment rallies 'round rubio,0
28197,study finds employees most productive when they can set their own salaries,1
16269,otherwise savvy woman duped by mascara makers again,1
44300,trump unfairly claims credit for rise in economic inequality that occurred under obama's watch,1
49883,man accused of killing firefighter was mad over traffic delay: police,0
41135,man doesn't realize date went terribly,1
12466,every song on kendrick lamar's new album is charting on billboard's hot 100,0
52200,alarming study finds 60% of americans don't know where their next value meal going to come from,1
4813,life much better thanks to recent elections,1
37235,wedding guest blissfully unaware she barely made the cut,1
28522,charmin introduces new disposable toilet paper,1
12338,shirtless mike huckabee spends entire debate seated in rickety rocking chair,1
6243,woman saves 75 cents,1
31179,mall debuts pet patrols to save dogs trapped in hot cars,0
8532,town hall attendees still standing patiently waiting for their questions to be answered,1
36933,death results in great deal of paperwork,1
766,45-year-old to help candidate understand youth vote,1
49329,undercover agents talking to each other in 'under 12' chatroom,1
5418,tribe prepares to keep up pipeline protest through north dakota winter,0
52368,delta airlines counter agent assures man he will never see his family again,1
9459,"plus-size holiday fashion: tutus, sequins, and standing out",0
45609,dixie donates $5 million in clean drinking cups to drought-ravaged southern africa,1
463,a lancet breakthrough: publishing about faith and health,0
1659,"man captures ross perot, is granted three wishes",1
13995,stephen hawking leaves behind beautiful legacy of unheeded warnings to humanity,1
6176,"natalee holloway, osama bin laden celebrate 5-year wedding anniversary",1
15754,rolling stone reporter recalls the moment her uva rape story unraveled,0
4056,"'goodbye to the dead,' a conversation with brian freeman",0
40544,landlord not convinced heat isn't working,1
55246,dementia patient's family keeps ripping her away from idyllic world of 1950s,1
42609,curly fry inventor strikes out with curly veal,1
48167,the genius of chinese cooking,0
31452,mule-ing it over: high heels and the law,0
21362,senator from troubled home state repeatedly acting out in congress,1
45487,"depraved candidate struggling to support $100,000-a-day advertising habit",1
49634,bill cosby feeling better about retrial now that climate around sexual assault has cooled down,1
43485,friday's morning email: what to look for with four days to go,0
16557,false ballistic missile alert sends hawaii into 'complete panic',0
41774,joe zee talks about the least glamorous part of his job,0
34442,tesla announces major upgrade to original roadster,0
21647,americans approve of barack obama's legacy but don't necessarily want to see it continue,0
28810,radicalized patagonia releases new fleece made of 100% recycled oil company ceos,1
5869,ian mckellen says actresses used to proposition directors for sex,0
23274,shopping for happiness in the oscar race's gorgeous department stores,0
32020,why kellyanne conway doesn't get a break on her bowling green massacre lie,0
38332,comedy central to air touching man show reunion,1
49280,"democratic senator caught on video with $70,000 in drug money",0
37995,5 netflix things to watch if you can't wait for the royal wedding,0
9595,life would be infinitely easier if these things were more flexible,0
50340,10 notable books of 2016 on black women's history,0
18555,minnesota to replace al franken with lt. gov. tina smith,0
24162,time to redefine and de-silo online safety efforts,0
53687,these photos of real kitchen disasters prove we've all been there,0
5904,aides concerned trump's mental health declining after president admits he may not be omnipotent living god,1
11864,darren wilson ain't no ham sandwich: prosecutorial manipulation of a flawed grand jury system,0
44377,jeb bush campaign kicks off 3-state farewell tour with iowa town hall meeting,1
45246,study finds they just don't make 'em like ginger rogers anymore,1
44870,desperate catholic church now offering sainthood to anyone who regularly attends weekly mass,1
941,this is what happens when you ask arya stark to write your yearbook quote,0
31386,restaurant's nacho challenge requires participants to watch man consume 3 pounds of nachos,1
31131,cdc rolls out fleet of narcan biplanes to fumigate opioid-ravaged small towns,1
18663,barbecue chicken panini succumbs to howard-related causes,1
34902,kerry washington: we shouldn't have to give up our seats at the table for others' bad behavior,0
47477,the brawny man is the brawny woman for women's history month,0
52392,larry wilmore takes down bill cosby on 'the nightly show',0
54079,'mapplethorpe' documentary directors reflect on the artist and their film,0
10116,10 of the best cyber monday tv deals you'll actually want to shop,0
22570,why the 99 percent keeps losing,0
33201,man running aimlessly with olympic torch for past 3 years,1
31281,london mayor sadiq khan to be joined by huffpost editor-in-chief lydia polgreen at sxsw 2018,0
25774,these boston bombing survivors don't think it's too soon for 'patriots day',0
45867,everyone glad someone else making small talk with disabled woman,1
14410,priebus grateful he had so little dignity to begin with,1
28517,kavanaugh impressed by hazing rituals before they let you join supreme court,1
17096,biologists discover billions of missing bees living anonymously in sacramento,1
6749,conservatives start spending to block obama supreme court nominee,0
52673,bags under tommy lee jones' eyes causing him neck problems,1
32584,"government official who makes perfectly valid, well-reasoned point against israel forced to resign",1
16940,north carolina law may risk federal aid,0
3234,scarlett johansson immediately rejects heartwarming prom invite from high school student,1
45498,how business leaders can help foster mental health in the workplace,0
28896,groom admits bride could have looked a bit more radiant on wedding day,1
27808,boss has been riding steven van zandt's ass all day,1
12484,the most feminist white house in history just made one of its last moves on equal pay,0
30951,san francisco makes a major statement against north carolina's hateful new law,0
26912,area man feels even lazier when he thinks about how much isis has accomplished this year,1
2741,are you the artist...or the masterpiece?,0
43208,ride mis-pimped,1
20556,report: jack black's life more valuable than yours if it ever comes down to it,1
52959,hawaii residents face new hazard from erupting volcano: laze,0
11543,hillary accuses china of trying to 'hack in everything that doesn't move',0
28062,damning video surfaces of trump accepting gop nomination for president,1
34049,it seems 'the walking dead' season 8 trailer just trolled everyone,0
13296,hotel/restaurant mogul robert earl wants you to be his guest,0
46451,black friday and cyber monday shopping tips,0
14491,megan fox welcomes son journey river with brian austin green,0
29518,trump's possible pardon of joe arpaio is destructive and unpresidential,0
42179,"i've learned how to piss people off — and you should, too",0
1858,justin trudeau is king of the political sock game no more,0
49354,white house corrects transcript to add few more insults about female reporter,1
10276,a look at transgender sex workers living in china,0
21959,nine-hundred-pound man left to die,1
38484,the republican obamacare dilemma in one 6-minute video,0
1551,hometown wistfully toured via google street view,1
29554,kashmir: when is the farewell to violence?,0
54051,'get tivo' friend's solution to everything,1
49709,'rock the vote' propels metallica to senate,1
44193,lindsey buckingham asks for more screaming at stevie nicks in monitor,1
46621,"for conservative press, the post-trump reckoning can't come soon enough",0
18867,sarah palin gave a very un-sarah palin speech at cpac,0
24213,i donated my eggs so i could travel the world,0
33126,president-elect edwards seen entering chinatown massage parlor,1
6999,"woman's body confusing jumble of celtic, egyptian, japanese symbols",1
23529,spy satellites show the himalayas' changing glaciers,0
20250,britney and her sons cover people magazine,0
33226,merriam-webster has six simple words for those sexist 'doctor who' fans,0
24155,college graduate accepts position above parents' garage,1
20286,depleted hawaiian volcano now just coughing up bile,1
25074,"harry connick, jr. dies in piano fire",1
33271,nasa announces plans to launch chimpanzee into sun,1
6480,"10 names for me that i find offensive, incorrect, bigoted, sexist and just plain wrong!",0
37405,heat wave forces johnny cash to don black shorts,1
4216,"planned parenthood offers virtual visits, will deliver birth control to your door",0
36186,the one moment you need to see from last night's 'peter pan live!',0
5820,u.s. fears russia ramping up support for assad,0
55173,microwave-resistant potato alarms scientists,1
23158,catholic church rules perjury not a mortal sin,1
6560,stewart-hannity feud: 'sh*t just got weird',0
21178,women's strike a sobering reality check for subway masturbator,1
10599,looking back at my first psychotic break: my speech at thresholds' gala in chicago,0
12331,the new york giants are even worse than last season,0
37618,study predicts 200 feet of sea level rise if all fossil fuels are burned,0
34426,why millions of americans are raiding their retirement savings,0
48233,theresa may narrowly manages to survive parliamentary firing squad,1
13231,cheney regrets buying bush laser pointer,1
7168,top black staffers leave the republican national committee,0
1576,overweight man receives 'lose weight fast' spam e-mail featuring his picture,1
48663,toddler chokes to death on plastic taiwanese-made toy,1
3971,area man finally in enough pain to go to doctor,1
75,this congressman thinks we can fix the economy by drinking beer,0
5117,real-life pepe le pew rapes cat,1
48522,rwandan refugees angered over lack of aol access,1
23189,"#metoo, and it's time for change",0
54942,entire pickup game spent consumed by fear of being passed to,1
42272,what it feels like to see for the first time at age 49,0
35909,description of hot-dog ingredients fails to ruin picnic,1
13011,area mom was waiting in the car for 20 minutes,1
13414,lester holt begins debate by reminding audience these the candidates they chose,1
50557,loss of virginity more humiliating than original virginity,1
19080,betsy devos chooses to spotlight a problematic charter school founded by pitbull,0
19072,the huffington post is hiring story editors for the voices department,0
43200,"hundreds of people exactly like manafort, cohen enjoy another day without any consequences whatsoever",1
22561,6 times leo and kate made the golden globes completely captivating,0
549,nobody watched matthew mcconaughey's forgotten youtube channel until now,0
42617,6 exercises that will transform your body,0
579,dear mr. president: a dispatch from bowling green,0
16475,"ireland, gay marriage and the church",0
29463,6th-graders feel kind of bad after seeing how easy it was to make young teacher cry,1
24049,nobel prize in chemistry awarded to taft middle school teacher mr. ambler,1
38877,romney receives 20-minute standing ovation at naawp event,1
1624,december's people,0
11977,watch abbi from 'broad city' strip naked and rock out to lady gaga,0
43249,heirloom plasticware lovingly handed down to next hundred thousand generations,1
13878,"nike ceo blasts trump executive order targeting muslims, refugees",0
18641,radical islamist preacher anjem choudary found guilty of supporting isis,0
20291,"america's 'overdose capital' is rising up, and it's time for the media to pay attention",0
8694,2015's first year-end music mashup is incredible,0
21912,fact-checking walmart's fact-check of the new york times,0
13286,protests continue for stephon clark on martin luther king jr.'s death anniversary,0
32120,7.1 billion demonstrate in favor of global warming,1
1985,nation's wildlife fleeing to canada,1
26383,it's time to stop chasing the impossible ideal,0
9451,girls charged in slender man attack will be tried as adults,0
2846,police leaders join effort to reduce incarceration rate,0
34001,decorative throw pillow positively aching for a quick plump,1
45328,campus tour guide reminds students at each stop they have to get in first,1
47407,afghan boy who made a lionel messi jersey from a plastic bag finally meets his hero,0
27350,equifax impressed by hackers' ability to ruin people's finances more efficiently than company can,1
48598,this first time area man hearing about daughter dating george zimmerman,1
54259,chinese-american professor sues fbi agents after being accused of espionage,0
5790,warren buffett can't believe he has to live next to powerball winner,1
37470,ultra-snuggly 'big hero 6' pillow hugs you right to sleep,0
13677,mark-paul gosselaar obviously authored own imdb trivia,1
25356,decades of breathing really starting to catch up with chinese man,1
51021,joe arpaio revives racist obama birther conspiracy,0
31082,taylor swift says ryan adams' 1989 cover album is 'such an honor',0
1155,10 things that really make my head explode,0
42294,nobody knows what third light switch does,1
18681,progressive groups want doug jones to throw caution to the wind,0
38553,"joy reid: gop in bizarre mirror universe where clinton is guilty, trump is blameless",0
18259,#youlookdisgusting blogger em ford responds to internet haters: 'perfection isn't real',0
25677,"michael bay might secretly be a genius, despite his awful movies",0
27953,deciphering what one woman wants in a man,0
12860,"report: majority of pay phone conversations begin, end in tears",1
17864,how mitt romney tops sarah palin,0
28082,hot girl mentions boyfriend three hours into conversation,1
2264,cake just sitting there,1
41513,important decision sent up to company's highest idiot,1
18365,your republican friend to explain why paul ryan is great choice,1
36873,stock market soars after investors decide that would be fun thing to make happen today,1
29575,paul ryan delivers impassioned 10-minute pained facial expression,1
13274,making sense of the trump russia morass,0
49570,local muppet held for questioning in chicken sex ring,1
2793,"black realness in the mainstream, but is everybody watching?",0
22805,4 surprising reasons why preschool and kindergarten must change,0
9989,more than two in five american adults carry hpv,0
50838,"body slams, ballots, and belated apologies in montana",0
35712,total weirdo spends mother's day at cemetery,1
4589,"'no blue, no green' -- new sylvia earle film shows power of protecting our oceans",0
50754,half of all american families are staring at financial catastrophe,0
38335,"study: beginning email with short, disingenuous inquiry into personal life best way to network",1
23848,area man has shitty fuckin' job,1
42367,kuwait deploys troop,1
32473,smokers at party only ones to make it to fire escape in time,1
48138,justin timberlake pulling panicked all-nighter after realizing new album due tomorrow,1
29120,ice detains tim kaine for speaking spanish at campaign rally,1
42462,trash reading,0
31486,"sadly, gift certificate to loews cinemas perfect gift for area man",1
17002,twitter is way more brutal than the nfl,0
12679,thursday's morning email: judge halts trump's travel ban,0
787,writer calls on women of color 'to divest from lena dunham' after controversy,0
48870,"'it's just a costume, it's just a costume,' man nervously assures himself as giant hot dog starts walking toward him",1
32358,enjoy the show: learn more after 'sharknado 2',0
24814,"'the bachelor' season 21, episode 4: here to make friends podcast",0
36830,the best teams in sports... 5 years from now,0
6462,second hour in fabric store nearly kills eight-year-old,1
23679,mcmaster can't remember if trump called comey a 'nut job' in meeting with russians,0
12954,fall movies every mom will see,0
48384,"a toe in the arctic ocean: canada's northwest territories on the looney front, part 2",0
42309,law enforcement and mental illness: not what they're meant for,0
25951,american airlines to phase out complimentary cabin pressurization,1
19377,suspect wins over detectives with 'rockford files' reference,1
39339,bruce springsteen on fence about playing assad's birthday gig,1
28445,vagina has five o'clock shadow,1
14866,dear white people: we don't need your saving,0
13127,celebrate older americans month by fighting senior poverty,0
38383,media reminds public not to overemphasize super tuesday results or draw any sort of wide-reaching conclusions,1
51233,sunday night's supermoon was incredible — but deadly for these animals,0
15518,furious dianne feinstein demands nsa figure out exactly who didn't endorse her,1
20916,texans brace for president's response to hurricane,1
43999,bored j.b. pritzker brainstorming new hobbies to blow money on after winning election,1
2744,god pissed after learning cost to replace earth's core,1
9890,kris kobach posted partial social security numbers of thousands of kansas officials online,0
28236,bush spends day feverishly booby-trapping desk,1
39100,peyton manning's wife quietly asks how much longer papa john going to crash on their couch,1
49672,mta urges riders to stop taking disabled passengers,1
52518,"for the first time, chimpanzees are making a fashion statement",0
285,list of names on gchat sidebar like a portal into area man's past lives,1
14187,aides trying to talk trump out of sending associates to break into watergate office complex,1
12509,trump officially declares opioid crisis an emergency 2 months after saying he would,0
33463,'the world of postsecret' reveals what lurks in the hearts of man,0
16554,literally what is sarah palin even talking about,0
44768,alyson stoner opens up about falling in love with a woman,0
39937,how fake meat may change our future thanksgiving dinners,0
52719,pamela anderson slams australia's treatment of refugee's dog in papua new guinea,0
50779,reality star jill duggar just became a dillard,0
51487,experts say breakfast now sixth most important meal of the day,1
31829,receding floodwaters reveal extent of houston area's post-harvey destruction,0
13257,glade introduces new air freshener mask,1
13379,masturbating mom can't get bobby flay southwestern eggs demo to stop buffering,1
45692,i'm really upset about the midterm elections god i love my new iphone,0
