,FP_text,FP_index
74,cubs fans caught in time loop now that 'next year' is in the past,2126
75,top german soccer team hit in explosions,2138
76,clinton campaign launches 'latinos for hillary',2147
77,mariah carey rings in 2017 with painful lip sync fail on live tv,2161
78,parental leave revolution moves from tech to banking,2162
79,"airport screening made 70,000 miss american airlines flights this year",2180
80,louis c.k. sends out epic email annihilating donald trump's candidacy,2190
81,psychic helps sniff out missing pet skunk,2199
82,tomb of lost egyptian queen discovered,2207
83,sure seems like frankie muniz wants a 'malcolm in the middle' reboot,2214
84,new study determines the best way to discipline your teen,2236
85,katy perry awarded $1.57 million from entrepreneur who interfered with convent sale,2276
86,peter dinklage might've spit his gum into wife's mouth before accepting his emmy,2303
87,amazon unhinged,2310
88,hacker releases new 'orange is the new black' episodes after demanding ransom,2322
89,federal reserve accidentally leaks secret documents,2362
90,baltimore police begin slow process of reform in year after freddie gray's death,2382
91,"kerry agrees to testify in front of issa, but not new benghazi committee",2400
92,pregnant kim kardashian and kylie jenner rock sister crop tops,2425
93,"arcade fire, bon iver, strokes form supergroup for one night only",2438
94,jerked around after all these years,2488
95,tania bruguera: 'in cuba we have learned our duties very well but not our rights',2496
96,citizens ask: how many guns do we need?,2528
97,actors who have dated multiple costars,2545
98,coroner's report finds no clear evidence of torture on otto warmbier's body,2555
99,prison inmates name feared guard known as 'captain america',2560
100,"man apparently opens beer with butt, inspires bartenders everywhere",2576
101,vatican appoints 'new generation' cardinal head of key archdiocese,2613
102,"white attacker allegedly tells black man, 'i can kill you and nothing will happen'",2625
103,ko'd martial artist is epitome of show-must-go-on in 'got talent',2675
104,loyal dog waits patiently for 7 whole days for owner to come home,2688
105,dodgers co-owner magic johnson goes bonkers watching team romp to world series,2691
106,"in late-night dissent, justice breyer sounds off against solitary confinement",2760
107,freaky february heat waves trigger more chills over climate change,2817
108,poll: millennials more open to idea of slavery reparations,2824
109,stan van gundy calls himself out for his past use of term 'posse',2848
110,stephen curry apologizes for being better than everyone else,2874
111,"trump, in oval office, signs first executive order on obamacare",2881
112,"dog, cat and squirrel drama escalates in a hurry",2894
113,decades of hosts return for 'gma' anniversary,2969
114,rev. run on being a tv dad: 'it's important to me',2995
115,disney releases first image of 'star wars: rogue one' cast,3105
116,son thanks mom who cared for his dad for 20 years with 20 adventures,3155
117,greyhound doesn't know if its own bus drivers are too tired,3229
118,cuban migrants adrift at sea drank own blood and urine to stay alive,3246
119,yelp adds hospital wait times and nursing home ratings using propublica data,3249
120,whitney houston lifetime movie casts its lead,3303
121,87-year-old musician dies after performing 'there's no business like show business',3369
122,"new photo shows pluto's 'heart' actually a vast, frozen wasteland",3392
123,"americans are embarrassed by farts, says least surprising poll ever",3459
124,civilian 'guard' fires gun while 'protecting' recruiting center,3490
125,middle (st)age never stop learning,3501
126,"chewing, and choking, on false (nutritional) equivalence",3605
127,impressive mom nails skateboard trick while pushing stroller,3609
128,deputy interior secretary met with lobbyist for a casino his former firm also represents,3657
129,teen accepted into 113 colleges chooses full ride to hbcu,3680
130,restaurant reacts perfectly to diners who were rude to employee with autism,3691
131,"edison electric institute's anti-solar, pr spending revealed",3699
132,"the bachelor recapped by someone who has actually been to iowa, unlike any of the contestants",3718
133,over 60 dead after suicide bomber targets mourners in front of pakistan hospital,3720
134,obama: 'arnold palmer had swagger before we had a name for it',3733
135,"lois gibbs: 'the government wouldn't help me, so i decided to do it myself'",3781
136,5.85 million people who can't vote but can they still complain?,3782
137,nasa reveals plans for new rover,3793
138,photos appear to show richard dreyfuss groping fans backstage,3802
139,makeup do's and i prefer you don'ts,3873
140,tammy haddad brunch kicks off star-studded whcd weekend,3944
141,democratic national committee asks its entire staff to resign,3946
142,u.s. kids fail at physical activity,3950
143,cat so scared in shelter won't even look at you,3971
144,"gop senator sorry for joking about mammograms, but still won't cover them",4029
145,jailed for being too poor,4057
146,kfc urged to stop routine use of antibiotics on poultry,4089
147,celebs' most iconic grammys outfits ever,4147
148,extensive coral reef found hidden at the mouth of the amazon river,4161
149,15 years of ftc failure to factor privacy into merger reviews,4210
150,bradley cooper looks unrecognizable for new role,4229
151,"oval office press chaos: 'you guys are getting worse,' says trump",4253
152,trump ignores journalist's 'are you a racist?' question after honoring martin luther king jr.,4267
153,once homeless student who worked 4 jobs to support family graduates college,4276
154,climate-denying weather channel founder frets about a hillary clinton victory,4287
155,alligator and python locked in death duel on golf course,4292
156,journalists flock to cnn debate they could better watch from home,4326
157,guy creates trump inauguration flyer we should all start passing out,4342
158,black men's sentences 20 percent longer than white men's for similar crimes,4344
159,lake bell welcomes baby girl,4372
160,2-year-old adorably mangles 'the star-spangled banner',4388
161,"education department tells states: if students don't take tests, you will lose funding",4392
162,bet you didn't know gal gadot is pronounced with a hard 't',4465
163,sanders ramps up spending in effort to catch up to hillary,4512
164,"americans more polarized than at any time in last two decades, poll shows",4547
165,fcc orders net neutrality to end in april,4579
166,outback steakhouse at the center of bizarre conspiracy theory,4638
167,piers morgan just pissed off a lot of parents with paternity leave comments,4640
168,warren buffett gives single largest charitable contribution,4662
169,study predicts 200 feet of sea level rise if all fossil fuels are burned,4680
170,ridley scott describes opening scene of 'blade runner' sequel in impressive detail,4683
171,taking up arms where birds feast on buffet of salmon,4743
172,twitter paints a bleak futuristic picture of #trickortreatin100years,4759
173,bat disease epidemic still expanding throughout north america,4764
174,receding floodwaters reveal extent of houston area's post-harvey destruction,4786
175,fast-track derails democracy,4787
176,floating library proves books should be shared in improbable places,4806
177,french parliament debates 'deep sleep' bill for end of life,4814
178,95-year-old woman uses lottery winnings to join 21st century,4850
179,"grateful dead lyricist, internet pioneer john perry barlow dead at 70",4888
180,high school custodian offers students inspired guidance,4903
181,new york city makes overdose reversal drug available without a prescription,4915
182,'game of thrones' star reveals tormund's love for brienne extends off screen,4942
183,heartbroken locals hold candlelight vigil for taco bell that burned down,4951
184,"bye bye american airlines, bye",4986
185,selfless playstation worker customizes controller for gamer with cerebral palsy,5004
186,no bern-ing love for hillary,5009
187,"white roof, low energy",5197
188,video shows e-cigarette suddenly explode in new jersey woman's handbag,5300
189,"hundreds of thousands on precipice of losing everything, yet no one seems to care?",5329
190,paula abdul's back at it,5341
191,man claims ex cares more about 'nonexistent' singing career than their daughter,5373
192,most long island politician ever attacks opponent for not loving billy joel enough,5408
193,'butt crack bandit' caught on camera holding duo at gunpoint,5450
194,surprise bidder for weinstein company wants embattled studio to be led by women,5520
195,'bubble boy' finally comfortable in his own skin,5645
196,scientists crack mystery of tiny traveling plants,5662
197,supreme court justice sotomayor continues duties after breaking shoulder,5700
