,FP_text,FP_index
94,'it's about a sense of meaning',1482
95,hillary clinton secures organized labor's prize endorsement,1488
96,republicans hold on to mick mulvaney's old house seat in south carolina,1500
97,still no drinking water in ohio's 4th largest city,1527
98,does policing summons warrants really prevent serious crime?,1529
99,trump blows up statue of liberty,1543
100,theater community receives death threats following 'julius caesar' controversy,1544
101,new 'hunger games: mockingjay - part 2' posters show the cast ready for battle,1564
102,obama welcomes cleveland cavs and j.r. smith's shirt to white house,1601
103,trump can't simply delete an islamophobic campaign,1602
104,north korea test-fires ballistic missile in defiance of world pressure,1613
105,"trump, speaking on russian state-owned network, slams 'dishonest' media",1619
106,retirement savings actually fell over the past year,1635
107,rand paul ends daylong nsa 'filibuster',1638
108,5 awesome acts of revenge that qualify as creative genius,1660
109,airbnb apologizes for posting snarky ads aimed at schools & libraries,1663
110,"3,500-year-old dagger was used as a doorstop",1671
111,farting teen sparks fight,1678
112,fourth of july ice-cream cake,1682
113,michael bolton singing john bolton's scary words about war is almost soothing,1689
114,stray pit bull stuck in tire is set free... and gets a sweet surprise,1692
115,"trump meets drugmakers, demands lower prices",1703
116,dog gives priceless reaction when owner pretends to faint,1705
117,study finds older dads may have 'geekier' sons,1731
118,"snoop dogg to perform at dnc, courtesy of big pharma",1751
119,norma at san francisco opera,1753
120,venezuela hunts for rogue helicopter attackers,1754
121,bush's 'electability' argument is getting even weaker,1777
122,spilled milk: dishing daphne,1788
123,"controlling birth, controlling pregnant women",1806
124,man stuffs cash into shirt of gop congressman who voted to repeal obamacare,1817
125,man hammers 38 nails with his skull in pursuit of world record,1825
126,"putin, erdogan and orban: band of brothers?",1838
127,real-life twist endings no one saw coming -- no one!,1865
128,"struggling mom puts camper on sale to buy gifts, facebook responds with presents",1866
129,prank changes highway sign to reference 'christmas vacation',1879
130,lincoln memorial pool to be drained after 80 ducklings die,1883
131,'the big dark': series of storms stretching from china to u.s. batters northwest,1908
132,bakery owner vows to stop making wedding cakes altogether after pro-gay court ruling,1935
133,suarez's bite felt strongest in uruguay,1950
134,librarian who amassed millions by living humbly leaves entire fortune to college,1988
135,hillary clinton: from symbolism to specifics,2012
136,kanye sends flowers to presidential running mate taylor swift,2019
137,"chef josé andrés prepares 40,000 thanksgiving meals in puerto rico",2065
138,"u.s. job growth rebounds sharply, unemployment rate hits 4.4 percent",2066
139,afi docs fest wraps up,2075
140,"ride-hailing drivers probably make even less than they think, mit paper finds",2097
141,rebel grandma sneaks out of care home to get a tattoo,2100
142,20 body changes nobody tells you come before menopause,2115
143,u.s. delegation visits myanmar to invest in community-based businesses,2118
144,ambitious test on tap for real-life 'flying saucer',2125
145,clinton campaign launches 'latinos for hillary',2147
146,felipe the bastard king,2170
147,surfer finds ring 35 years after he lost it,2171
148,"airport screening made 70,000 miss american airlines flights this year",2180
149,chelsea handler features brutal impression of sarah huckabee sanders on her show,2187
150,tomb of lost egyptian queen discovered,2207
151,in-person visits with jailed parents are a child's right,2234
152,conor walton: contemplating higher things,2237
153,darrell issa retiring from congress,2261
154,amber rose encourages iggy azalea to 'date a bunch of hot guys' to get over nick young,2264
155,"florida man killed after standing up for gay friends, witnesses say",2302
156,peter dinklage might've spit his gum into wife's mouth before accepting his emmy,2303
157,epa takes real steps toward curbing smog pollution - now we need your voice,2307
158,amazon unhinged,2310
159,i am terrified of taking my child literally anywhere,2312
160,u.s. muslims ask john kerry for protection on mecca pilgrimage,2334
161,federal reserve accidentally leaks secret documents,2362
162,solar jobs report shows huge growth,2368
163,kittens recovering after photographer rescued them from brush fire,2369
164,supreme court hands a major victory to workers who were stiffed on overtime pay,2387
165,"kerry agrees to testify in front of issa, but not new benghazi committee",2400
166,community solar brings renewable energy 'to the masses',2414
167,rick perry mistakenly calls puerto rico a country,2418
168,cambodian paper takes parting shot at 'dictatorship' in final edition,2432
169,"arcade fire, bon iver, strokes form supergroup for one night only",2438
170,republican pick-up lines are about as creepy as you might imagine,2462
171,'me and mrs. jones' singer billy paul has died,2468
172,hillary clinton taps pusha t for voter registration drive,2505
173,leonardo dicaprio hangs with elephant posse to help save endangered species,2516
174,new york state inches closer to single-payer plan with pickup of new support,2527
175,"john avildsen, oscar-winning director of 'rocky,' dead at 81",2547
176,new rule from obama will punish contractors who cheat or endanger workers,2554
177,coroner's report finds no clear evidence of torture on otto warmbier's body,2555
178,prison inmates name feared guard known as 'captain america',2560
179,report: iran's supreme leader sent obama a secret letter,2561
180,"desperate parents of abducted nigerian girls lose hope in government, turn to u.n.",2575
181,"man apparently opens beer with butt, inspires bartenders everywhere",2576
182,pope francis's life depicted in new comic book,2583
183,springing into may/charitable & cultural catch-up,2587
184,body found may be of missing 3-year-old left outside by dad: police,2588
185,rescuers in rebel-held syrian area accuse government of gas attack,2598
186,"president trump compliments kim jong un, makes case for north korean nukes",2611
187,vatican appoints 'new generation' cardinal head of key archdiocese,2613
188,"until trump decides otherwise, a bloc of house conservatives now controls government",2622
189,arianna joins payoff to 'reshape' financial services industry,2627
190,alyson stoner opens up about falling in love with a woman,2640
191,secret service took 15 minutes to catch white house fence jumper: report,2680
192,this donut-shaped pool table is homer simpson's dream come true,2681
193,suspected killer of little girl worked for police,2683
194,loyal dog waits patiently for 7 whole days for owner to come home,2688
195,dodgers co-owner magic johnson goes bonkers watching team romp to world series,2691
196,terry crews reveals the text he sent to agent after he was groped,2709
197,woman duct-tapes her dog's mouth and brags about it,2713
198,"michael flynn caught lying about russia talks, reports say",2743
199,bruce jenner okay following deadly car crash,2753
200,"in late-night dissent, justice breyer sounds off against solitary confinement",2760
201,judge tosses suit accusing trump business dealings of violating constitution,2770
202,china refuses overseas treatment for critically ill nobel peace prize winner,2774
203,sean hannity goes berserk after losing conservative media award,2775
204,kerry washington: we shouldn't have to give up our seats at the table for others' bad behavior,2796
205,australian politician proposes to partner during same-sex marriage debate,2799
206,female entrepreneur : karen quinones,2822
207,clay aiken gained 30 pounds eating bojangles chicken during his campaign,2826
208,shocking 'nashville' cliffhanger might be connie britton's swan song,2839
209,financial burden of cancer can harm quality of life,2856
210,stephen curry apologizes for being better than everyone else,2874
211,japan calls for 'world without nuclear weapons' on hiroshima bombing anniversary,2878
212,"trump, in oval office, signs first executive order on obamacare",2881
213,"dog, cat and squirrel drama escalates in a hurry",2894
214,julianne moore stuns in custom chanel,2929
215,retired research chimps are really enjoying their new home,2930
216,rightist critics of pope francis,2935
217,decades of hosts return for 'gma' anniversary,2969
218,check it out: giant pumpkin outweighs smart car,2980
219,abe's visit will remind americans china's power must be checked,2996
220,two non-binary college activists on creating space for themselves on campus,3009
221,jews on judaism -- unfiltered: all together podcast,3018
222,even regular exercise isn't enough to cancel out too much sitting,3027
223,study finds women who want abortions are often given misleading information,3045
224,the incredibly boring trait that all great leaders need,3053
225,eric swalwell wins re-election bid,3072
226,new 'star wars' commercial reveals c-3po's red arm and other secrets,3081
227,disney releases first image of 'star wars: rogue one' cast,3105
228,priest's lost puppy was much closer than he thought,3109
229,robert pattinson & fka twigs spend time at chateau marmont,3152
230,obamacare premiums will be way higher next year. they didn't have to be.,3164
231,obama to end automatic residency for cuban migrants,3182
232,cnn anchor blames french muslims for failure to prevent attacks,3183
233,gorgeous new nasa image shows earth 'rising' over the moon,3186
234,team obama's last gasp for middle east peace explained,3198
235,greyhound doesn't know if its own bus drivers are too tired,3229
236,man opens fire on chicago subway train: police,3238
237,"general mills releases tiny toast, its first new cereal in 15 years",3241
238,cuban migrants adrift at sea drank own blood and urine to stay alive,3246
239,'this life isn't worth a damn': the precarious existence of czech intellectuals,3261
240,female authors accuse junot diaz of 'virulent misogyny',3268
241,rattlesnakes have been observed,3314
242,has alzheimer's been cured?,3325
243,dad transforms kids' toy cars into epic 'mad max' mobiles,3349
244,wild tales:  outstanding black comedy at cannes,3357
245,87-year-old musician dies after performing 'there's no business like show business',3369
246,"new photo shows pluto's 'heart' actually a vast, frozen wasteland",3392
247,melo's hat game > knicks' triangle offense,3419
248,dedicated 'humans of new york' fans raise money to send underserved kids on harvard visit,3428
249,miley cyrus gets tattoo of dead dog,3448
250,"americans are embarrassed by farts, says least surprising poll ever",3459
251,civilian 'guard' fires gun while 'protecting' recruiting center,3490
252,middle (st)age never stop learning,3501
253,a nutritionist's top menu picks from popular american chain restaurants,3522
254,recent mlb incidents reveal warped ideas of manhood in sports,3527
255,george clooney on why he'll never dye his hair,3536
256,man charged in disappearance of north carolina toddler,3547
257,damon albarn gets carried off stage in denmark after 5-hour set,3563
258,'octopussy' villain louis jourdan dead at 93,3575
259,computer science in vietnam: counting down to the hour of code,3579
260,senate republicans just blocked a bunch of gun control measures,3586
261,family loses third son to the heroin epidemic,3641
262,airline passengers tackle man who rushes cockpit in bomb threat,3666
263,teen accepted into 113 colleges chooses full ride to hbcu,3680
264,5 genius inventions that make it possible to nap pretty much anywhere,3716
265,"the bachelor recapped by someone who has actually been to iowa, unlike any of the contestants",3718
266,naked man sleeps and drinks whiskey on subway (nsfw),3722
267,purdue university erases video of nsa surveillance speech to obey government censorship rules,3770
268,"timothée chalamet says contract blocked him from criticizing woody allen, supporting dylan farrow. it didn't.",3779
269,5.85 million people who can't vote but can they still complain?,3782
270,'bad moms' stars pull off amazing surprise for a single mom on 'ellen',3783
271,afghan president ashraf ghani offers to recognize taliban as legitimate political group,3791
272,nasa reveals plans for new rover,3793
273,fans erupt over fate of elias koteas' olinsky on 'chicago p.d.',3815
274,insane marshmallow clouds bubble up in severe storms,3834
275,u.s. figure skating team makes history with record number of asian-americans,3940
276,democratic national committee asks its entire staff to resign,3946
277,u.s. kids fail at physical activity,3950
278,paul ryan refuses to promise obamacare 'replacement' will cover birth control fully,3984
279,woman enters miss universe malaysia after finding beauty in her head-to-toe moles,3991
280,incredibly daring man swims to hawaii's lava with a selfie stick,3992
281,nevada must not allow a death row inmate to 'volunteer' for execution by fentanyl and other drugs,3995
282,bin laden conspiracy theories share one problem,4037
283,kfc urged to stop routine use of antibiotics on poultry,4089
284,"firefighters rescue man after heart attack, then finish mowing his lawn",4093
285,"u.k. to also ban large electronics on some flights from middle east, africa",4119
286,united airlines skips senate deadline to explain passenger-dragging incident,4135
287,prominent fisheries scientist under fire for seafood industry funding,4158
288,supreme court keeps california's 'gay conversion' therapy ban in place,4168
289,ann coulter rejects rescheduling offer from uc berkeley,4178
290,creating leverage where none seems to exist,4200
291,thinking more broadly about mothering this mother's day,4208
292,15 years of ftc failure to factor privacy into merger reviews,4210
293,"'i am penguin, hear me squeak!' a bird speaks out from inside seaworld's 'antarctica'",4214
294,bradley cooper looks unrecognizable for new role,4229
295,trump announces paris accord decision with ... is that jazz music?,4230
296,midnight tea party in los angeles on 12/20,4237
297,"justice dept. mandates 'implicit bias' training for agents, lawyers",4243
298,"oval office press chaos: 'you guys are getting worse,' says trump",4253
299,patrick dempsey's wife files for divorce,4280
300,pentagon planning,4281
301,pulse nightclub shooter's father revealed as former fbi informant,4284
302,"bill o'reilly defends 'well-fed' slaves remark, blames 'far-left' media for attacks",4293
303,report: algerian militant killed in u.s. strike targeting al qaeda operatives in libya,4321
304,gop sen. bob corker: trump hasn't demonstrated 'stability' or 'competence',4323
305,who's the old guy at lollapalooza?,4332
306,guy creates trump inauguration flyer we should all start passing out,4342
307,"stage door: death of a salesman, hell's belles",4352
308,firefighter loses home to fire days after he receives racist threat,4364
309,lake bell welcomes baby girl,4372
310,another fire rages at texas chemical factory,4381
311,guy in bear costume has no problem voting in russian election,4394
312,"after decades of effort, chemists overseas report 'nano' breakthrough",4398
313,bill clinton shoots down republicans: 'i strongly supported' obamacare,4405
314,explosive report says usa swimming covered up hundreds of sexual abuse cases,4425
315,"executives at bankrupt sports authority ask for bonuses, get denied",4462
316,males circumcised to reduce hiv risk in mozambique shift gender norms surrounding sex,4466
317,former senator to run pot company,4507
318,"uganda's president extends 30-year rule, detains rivals after election",4520
319,'you are not the brightest of my four sons'... and other depressing things that have been said to me,4521
320,"meet axel, old spice's ridiculous new whale-riding stuntman",4534
321,netanyahu: iran leader's speech shows dangers of nuclear deal,4541
322,proof that it pays to piss off sarah palin,4561
323,u.k. reality tv contestant fiercely shuts down co-stars' sexist comments,4586
324,"paul ryan reverses course, accepts house chaplain rescinding resignation",4606
325,teen pulls off oscar-worthy promposal asking emma stone to dance,4607
326,piers morgan just pissed off a lot of parents with paternity leave comments,4640
327,cardi b doesn't owe you anything,4659
328,warren buffett gives single largest charitable contribution,4662
329,jimmy carter to make rare address to britain's house of lords,4675
330,study predicts 200 feet of sea level rise if all fossil fuels are burned,4680
331,ridley scott describes opening scene of 'blade runner' sequel in impressive detail,4683
332,tesla's self-driving feature leaves insurers idling as states scramble,4685
333,paul ryan halts push to bring back earmarks,4688
334,tom hardy goes from real-life hero to movie supervillain,4721
335,"woman agrees to pay for wrong lottery ticket, then wins $5 million",4724
336,taking up arms where birds feast on buffet of salmon,4743
337,obama again extends troop presence in afghanistan,4768
338,ex-iranian president mahmoud ahmadinejad plans to run again,4772
339,airbnb under fire from new 'share better' campaign,4810
340,police chief busted for parking on sidewalk does the honorable thing,4815
341,olivia wilde takes down subway riders who don't give seats to pregnant women,4839
342,speaking of 'rigged',4845
343,"after learning about homelessness, kind toddler starts donation drive",4848
344,95-year-old woman uses lottery winnings to join 21st century,4850
345,wedding couple does lightsaber duel instead of first dance,4865
346,trump told friends 'you all just got a lot richer' from tax bill: report,4883
347,"grateful dead lyricist, internet pioneer john perry barlow dead at 70",4888
348,snl's jeff richards' delivers 2014's strangest electro-dance comedy greatest hits album,4911
349,new york city makes overdose reversal drug available without a prescription,4915
350,childish gambino releases new song 'candler road',4927
351,"burglar bursts through ymca ceiling, steals toy money",4944
352,heartbroken locals hold candlelight vigil for taco bell that burned down,4951
353,disappointed in 'silence': proud of my domestic ignatians,4968
354,"bye bye american airlines, bye",4986
355,newly blond kanye west makes first appearance after hospitalization,5002
356,selfless playstation worker customizes controller for gamer with cerebral palsy,5004
357,"horrified by johnson & johnson's tactics, a sales rep wears a wire",5015
358,american richard thaler wins nobel economics prize,5079
359,officer's life saved when he shoots bullet directly into suspect's gun,5082
360,bush torture defender suggests obama should be impeached over bergdahl,5121
361,parents of 12-year-old say son killed himself after being bullied over sexuality,5136
362,matthew mcconaughey once faked an australian accent for an entire year,5176
363,"white roof, low energy",5197
364,jil speaks openly about new york's full moon festival,5229
365,european vacation -- in philadelphia!,5240
366,wapo releases first photos of jason rezaian reunited with family,5271
367,"a year after paris attacks, france still hasn't figured out how to contain terrorism",5311
368,yale humanists seek to unite new haven community with holiday obelisk,5314
369,mizzou chancellor condemns 'verbal assault' by melissa click during homecoming parade,5315
370,"hundreds of thousands on precipice of losing everything, yet no one seems to care?",5329
371,eric cantor's new job,5337
372,paula abdul's back at it,5341
373,you have the right to remain obnoxious,5345
374,long-lost salamander rediscovered in guatemalan jungle,5349
375,obama's supreme court nominee just bragged about sending this man to prison. now he's free.,5355
376,police release footage of man who died after being pepper sprayed,5363
377,man claims ex cares more about 'nonexistent' singing career than their daughter,5373
378,most long island politician ever attacks opponent for not loving billy joel enough,5408
379,megachurch pastor abruptly retires after allegations of improper conduct go public,5433
380,beyoncé's mom steals the red carpet spotlight,5441
381,modern gym manners: 8 etiquette tips for your workout,5453
382,"nasa, jesus & templeton?",5464
383,sonoma's wackiest wineries,5502
384,in memoriam: robin thicke's career,5521
385,damning report claims mexican federal police participated in disappearance of 43 students,5561
386,israeli forces kill palestinian youth wielding knife at checkpoint,5592
387,"mount vernon says it owns george washington's copy of don quixote, not glenn beck",5618
388,obama is like that really great neighbor who's moving out,5623
389,paul ryan renews call to suspend hillary clinton's classified briefings,5629
390,alex jones calls a press conference to tell reporters they suck,5644
391,scientists crack mystery of tiny traveling plants,5662
392,pranksters slip kkk hoods and urine-proof sheets into trump tower's gift shop,5671
393,unapologetic self-portraits that shatter perceptions of disability,5685
394,supreme court puts redrawing of texas electoral maps on hold,5692
395,supreme court justice sotomayor continues duties after breaking shoulder,5700
